2025-05-21 18:08:31
Patient 2 marker information of all sessions 1-14

Common markers across all runs, for each session
Session 1: [101, 102, 103, 104, 105, 106, 111, 112, 113, 114, 115, 116, 200, 201, 202, 203, 204, 205, 255, 99999]
Session 2: [101, 102, 103, 104, 105, 106, 111, 112, 113, 114, 115, 116, 200, 201, 202, 203, 204, 205, 255, 99999]
Session 3: [101, 102, 103, 104, 105, 106, 111, 112, 113, 114, 115, 116, 200, 201, 202, 203, 204, 205, 255, 99999]
Session 4: [101, 102, 103, 104, 105, 106, 111, 112, 113, 114, 115, 116, 200, 201, 202, 203, 204, 205, 255, 99999]
Session 5: [101, 102, 103, 104, 105, 106, 111, 112, 113, 114, 115, 116, 200, 201, 202, 203, 204, 205, 255, 99999]
Session 6: [101, 102, 103, 104, 105, 106, 111, 112, 113, 114, 115, 116, 200, 201, 202, 203, 204, 205, 255, 99999]
Session 7: [101, 102, 103, 104, 105, 106, 111, 112, 113, 114, 115, 116, 200, 201, 202, 203, 204, 205, 255, 99999]
Session 8: [101, 102, 103, 104, 105, 106, 111, 112, 113, 114, 115, 116, 200, 201, 202, 203, 204, 205, 255, 99999]
Session 9: [101, 102, 103, 104, 105, 106, 111, 112, 113, 114, 115, 116, 200, 201, 202, 203, 204, 205, 255, 99999]
Session 10: [101, 102, 103, 104, 105, 106, 111, 112, 113, 114, 115, 116, 200, 201, 202, 203, 204, 205, 255, 99999]
Session 11: [101, 102, 103, 104, 105, 106, 111, 112, 113, 114, 115, 116, 200, 201, 202, 203, 204, 205, 255, 99999]
Session 12: [101, 102, 103, 104, 105, 106, 111, 112, 113, 114, 115, 116, 200, 201, 202, 203, 204, 205, 255, 99999]
Session 13: [200, 99999]
Session 14: [101, 102, 103, 104, 105, 106, 111, 112, 113, 114, 115, 116, 200, 201, 202, 203, 204, 205, 255, 99999]

Markers that do not appear in all runs, for each session
Session 1: -
Session 2: -
Session 3: -
Session 4: -
Session 5: -
Session 6: {206}
Session 7: {206}
Session 8: -
Session 9: -
Session 10: -
Session 11: -
Session 12: {206}
Session 13: {201, 202, 203, 204, 205, 206, 207, 10001, 101, 102, 103, 104, 105, 106, 111, 112, 113, 114, 115, 116, 255}
Session 14: -

Searching for the uncommon markers: [  101   102   103   104   105   106   111   112   113   114   115   116
   201   202   203   204   205   206   207   255 10001]
[filename]: [(marker, count)]
P2_S1/anonymized/auditoryAphasia_6D_long_350_Block1_Run1.vhdr: [(101, 75), (102, 75), (103, 75), (104, 75), (105, 75), (106, 75), (111, 15), (112, 15), (113, 15), (114, 15), (115, 15), (116, 15), (201, 1), (202, 1), (203, 1), (204, 1), (205, 1), (255, 1)]
P2_S1/anonymized/auditoryAphasia_6D_long_350_Block2_Run1.vhdr: [(101, 75), (102, 75), (103, 75), (104, 75), (105, 75), (106, 75), (111, 15), (112, 15), (113, 15), (114, 15), (115, 15), (116, 15), (201, 1), (202, 1), (203, 1), (204, 1), (205, 1), (255, 1)]
P2_S1/anonymized/auditoryAphasia_6D_long_350_Block3_Run1.vhdr: [(101, 75), (102, 75), (103, 75), (104, 75), (105, 75), (106, 75), (111, 15), (112, 15), (113, 15), (114, 15), (115, 15), (116, 15), (201, 1), (202, 1), (203, 1), (204, 1), (205, 1), (255, 1)]
P2_S1/anonymized/auditoryAphasia_6D_short_250_Block1_Run4.vhdr: [(101, 75), (102, 75), (103, 75), (104, 75), (105, 75), (106, 75), (111, 15), (112, 15), (113, 15), (114, 15), (115, 15), (116, 15), (201, 1), (202, 1), (203, 1), (204, 1), (205, 1), (255, 1)]
P2_S1/anonymized/auditoryAphasia_6D_short_250_Block2_Run3.vhdr: [(101, 75), (102, 75), (103, 75), (104, 75), (105, 75), (106, 75), (111, 15), (112, 15), (113, 15), (114, 15), (115, 15), (116, 15), (201, 1), (202, 1), (203, 1), (204, 1), (205, 1), (255, 1)]
P2_S1/anonymized/auditoryAphasia_6D_short_250_Block3_Run3.vhdr: [(101, 75), (102, 75), (103, 75), (104, 75), (105, 75), (106, 75), (111, 15), (112, 15), (113, 15), (114, 15), (115, 15), (116, 15), (201, 1), (202, 1), (203, 1), (204, 1), (205, 1), (255, 1)]
P2_S1/anonymized/auditoryAphasia_HP_long_350_Block1_Run2.vhdr: [(101, 75), (102, 75), (103, 75), (104, 75), (105, 75), (106, 75), (111, 15), (112, 15), (113, 15), (114, 15), (115, 15), (116, 15), (201, 1), (202, 1), (203, 1), (204, 1), (205, 1), (255, 1)]
P2_S1/anonymized/auditoryAphasia_HP_long_350_Block2_Run2.vhdr: [(101, 75), (102, 75), (103, 75), (104, 75), (105, 75), (106, 75), (111, 15), (112, 15), (113, 15), (114, 15), (115, 15), (116, 15), (201, 1), (202, 1), (203, 1), (204, 1), (205, 1), (255, 1)]
P2_S1/anonymized/auditoryAphasia_HP_long_350_Block3_Run2.vhdr: [(101, 75), (102, 75), (103, 75), (104, 75), (105, 75), (106, 75), (111, 15), (112, 15), (113, 15), (114, 15), (115, 15), (116, 15), (201, 1), (202, 1), (203, 1), (204, 1), (205, 1), (255, 1)]
P2_S1/anonymized/auditoryAphasia_HP_short_250_Block1_Run5.vhdr: [(101, 75), (102, 75), (103, 75), (104, 75), (105, 75), (106, 75), (111, 15), (112, 15), (113, 15), (114, 15), (115, 15), (116, 15), (201, 1), (202, 1), (203, 1), (204, 1), (205, 1), (255, 1)]
P2_S1/anonymized/auditoryAphasia_HP_short_250_Block2_Run4.vhdr: [(101, 75), (102, 75), (103, 75), (104, 75), (105, 75), (106, 75), (111, 15), (112, 15), (113, 15), (114, 15), (115, 15), (116, 15), (201, 1), (202, 1), (203, 1), (204, 1), (205, 1), (255, 1)]
P2_S1/anonymized/auditoryAphasia_HP_short_250_Block3_Run4.vhdr: [(101, 75), (102, 75), (103, 75), (104, 75), (105, 75), (106, 75), (111, 15), (112, 15), (113, 15), (114, 15), (115, 15), (116, 15), (201, 1), (202, 1), (203, 1), (204, 1), (205, 1), (255, 1)]
P2_S2/anonymized/auditoryAphasia_6D_long_350_Block1_Run1.vhdr: [(101, 75), (102, 75), (103, 75), (104, 75), (105, 75), (106, 75), (111, 15), (112, 15), (113, 15), (114, 15), (115, 15), (116, 15), (201, 1), (202, 1), (203, 1), (204, 1), (205, 1), (255, 1)]
P2_S2/anonymized/auditoryAphasia_6D_long_350_Block2_Run1.vhdr: [(101, 75), (102, 75), (103, 75), (104, 75), (105, 75), (106, 75), (111, 15), (112, 15), (113, 15), (114, 15), (115, 15), (116, 15), (201, 1), (202, 1), (203, 1), (204, 1), (205, 1), (255, 1)]
P2_S2/anonymized/auditoryAphasia_6D_long_350_Block3_Run1.vhdr: [(101, 75), (102, 75), (103, 75), (104, 75), (105, 75), (106, 75), (111, 15), (112, 15), (113, 15), (114, 15), (115, 15), (116, 15), (201, 1), (202, 1), (203, 1), (204, 1), (205, 1), (255, 1)]
P2_S2/anonymized/auditoryAphasia_6D_long_350_Block4_Run1.vhdr: [(101, 75), (102, 75), (103, 75), (104, 75), (105, 75), (106, 75), (111, 15), (112, 15), (113, 15), (114, 15), (115, 15), (116, 15), (201, 1), (202, 1), (203, 1), (204, 1), (205, 1), (255, 1)]
P2_S2/anonymized/auditoryAphasia_6D_long_350_Block5_Run1.vhdr: [(101, 75), (102, 75), (103, 75), (104, 75), (105, 75), (106, 75), (111, 15), (112, 15), (113, 15), (114, 15), (115, 15), (116, 15), (201, 1), (202, 1), (203, 1), (204, 1), (205, 1), (255, 1)]
P2_S2/anonymized/auditoryAphasia_6D_short_250_Block1_Run3.vhdr: [(101, 75), (102, 75), (103, 75), (104, 75), (105, 75), (106, 75), (111, 15), (112, 15), (113, 15), (114, 15), (115, 15), (116, 15), (201, 1), (202, 1), (203, 1), (204, 1), (205, 1), (255, 1)]
P2_S2/anonymized/auditoryAphasia_6D_short_250_Block2_Run3.vhdr: [(101, 75), (102, 75), (103, 75), (104, 75), (105, 75), (106, 75), (111, 15), (112, 15), (113, 15), (114, 15), (115, 15), (116, 15), (201, 1), (202, 1), (203, 1), (204, 1), (205, 1), (255, 1)]
P2_S2/anonymized/auditoryAphasia_6D_short_250_Block3_Run3.vhdr: [(101, 75), (102, 75), (103, 75), (104, 75), (105, 75), (106, 75), (111, 15), (112, 15), (113, 15), (114, 15), (115, 15), (116, 15), (201, 1), (202, 1), (203, 1), (204, 1), (205, 1), (255, 1)]
P2_S2/anonymized/auditoryAphasia_6D_short_250_Block4_Run3.vhdr: [(101, 75), (102, 75), (103, 75), (104, 75), (105, 75), (106, 75), (111, 15), (112, 15), (113, 15), (114, 15), (115, 15), (116, 15), (201, 1), (202, 1), (203, 1), (204, 1), (205, 1), (255, 1)]
P2_S2/anonymized/auditoryAphasia_HP_long_350_Block1_Run2.vhdr: [(101, 75), (102, 75), (103, 75), (104, 75), (105, 75), (106, 75), (111, 15), (112, 15), (113, 15), (114, 15), (115, 15), (116, 15), (201, 1), (202, 1), (203, 1), (204, 1), (205, 1), (255, 1)]
P2_S2/anonymized/auditoryAphasia_HP_long_350_Block2_Run2.vhdr: [(101, 75), (102, 75), (103, 75), (104, 75), (105, 75), (106, 75), (111, 15), (112, 15), (113, 15), (114, 15), (115, 15), (116, 15), (201, 1), (202, 1), (203, 1), (204, 1), (205, 1), (255, 1)]
P2_S2/anonymized/auditoryAphasia_HP_long_350_Block3_Run2.vhdr: [(101, 75), (102, 75), (103, 75), (104, 75), (105, 75), (106, 75), (111, 15), (112, 15), (113, 15), (114, 15), (115, 15), (116, 15), (201, 1), (202, 1), (203, 1), (204, 1), (205, 1), (255, 1)]
P2_S2/anonymized/auditoryAphasia_HP_long_350_Block4_Run2.vhdr: [(101, 75), (102, 75), (103, 75), (104, 75), (105, 75), (106, 75), (111, 15), (112, 15), (113, 15), (114, 15), (115, 15), (116, 15), (201, 1), (202, 1), (203, 1), (204, 1), (205, 1), (255, 1)]
P2_S2/anonymized/auditoryAphasia_HP_short_250_Block1_Run4.vhdr: [(101, 75), (102, 75), (103, 75), (104, 75), (105, 75), (106, 75), (111, 15), (112, 15), (113, 15), (114, 15), (115, 15), (116, 15), (201, 1), (202, 1), (203, 1), (204, 1), (205, 1), (255, 1)]
P2_S2/anonymized/auditoryAphasia_HP_short_250_Block2_Run4.vhdr: [(101, 75), (102, 75), (103, 75), (104, 75), (105, 75), (106, 75), (111, 15), (112, 15), (113, 15), (114, 15), (115, 15), (116, 15), (201, 1), (202, 1), (203, 1), (204, 1), (205, 1), (255, 1)]
P2_S2/anonymized/auditoryAphasia_HP_short_250_Block3_Run4.vhdr: [(101, 75), (102, 75), (103, 75), (104, 75), (105, 75), (106, 75), (111, 15), (112, 15), (113, 15), (114, 15), (115, 15), (116, 15), (201, 1), (202, 1), (203, 1), (204, 1), (205, 1), (255, 1)]
P2_S2/anonymized/auditoryAphasia_HP_short_250_Block4_Run4.vhdr: [(101, 75), (102, 75), (103, 75), (104, 75), (105, 75), (106, 75), (111, 15), (112, 15), (113, 15), (114, 15), (115, 15), (116, 15), (201, 1), (202, 1), (203, 1), (204, 1), (205, 1), (255, 1)]
P2_S3/anonymized/auditoryAphasia_6D_350_Block1_Run1.vhdr: [(101, 75), (102, 75), (103, 75), (104, 75), (105, 75), (106, 75), (111, 15), (112, 15), (113, 15), (114, 15), (115, 15), (116, 15), (201, 1), (202, 1), (203, 1), (204, 1), (205, 1), (255, 1)]
P2_S3/anonymized/auditoryAphasia_6D_350_Block1_Run2.vhdr: [(101, 75), (102, 75), (103, 75), (104, 75), (105, 75), (106, 75), (111, 15), (112, 15), (113, 15), (114, 15), (115, 15), (116, 15), (201, 1), (202, 1), (203, 1), (204, 1), (205, 1), (255, 1)]
P2_S3/anonymized/auditoryAphasia_6D_350_Block1_Run3.vhdr: [(101, 75), (102, 75), (103, 75), (104, 75), (105, 75), (106, 75), (111, 15), (112, 15), (113, 15), (114, 15), (115, 15), (116, 15), (201, 1), (202, 1), (203, 1), (204, 1), (205, 1), (255, 1)]
P2_S3/anonymized/auditoryAphasia_6D_350_Block1_Run4.vhdr: [(101, 75), (102, 75), (103, 75), (104, 75), (105, 75), (106, 75), (111, 15), (112, 15), (113, 15), (114, 15), (115, 15), (116, 15), (201, 1), (202, 1), (203, 1), (204, 1), (205, 1), (255, 1)]
P2_S3/anonymized/auditoryAphasia_6D_350_Block1_Run5.vhdr: [(101, 75), (102, 75), (103, 75), (104, 75), (105, 75), (106, 75), (111, 15), (112, 15), (113, 15), (114, 15), (115, 15), (116, 15), (201, 1), (202, 1), (203, 1), (204, 1), (205, 1), (255, 1)]
P2_S3/anonymized/auditoryAphasia_6D_350_Block1_Run6.vhdr: [(101, 75), (102, 75), (103, 75), (104, 75), (105, 75), (106, 75), (111, 15), (112, 15), (113, 15), (114, 15), (115, 15), (116, 15), (201, 1), (202, 1), (203, 1), (204, 1), (205, 1), (255, 1)]
P2_S3/anonymized/auditoryAphasia_6D_350_Block2_Run1.vhdr: [(101, 75), (102, 69), (103, 69), (104, 69), (105, 69), (106, 69), (111, 9), (112, 15), (113, 15), (114, 15), (115, 15), (116, 15), (201, 1), (202, 1), (203, 1), (204, 1), (205, 1), (255, 1)]
P2_S3/anonymized/auditoryAphasia_6D_350_Block2_Run2.vhdr: [(101, 68), (102, 68), (103, 68), (104, 75), (105, 68), (106, 68), (111, 15), (112, 15), (113, 15), (114, 8), (115, 15), (116, 15), (201, 1), (202, 1), (203, 1), (204, 1), (205, 1), (255, 1)]
P2_S3/anonymized/auditoryAphasia_6D_350_Block2_Run3.vhdr: [(101, 74), (102, 74), (103, 75), (104, 74), (105, 74), (106, 74), (111, 15), (112, 15), (113, 14), (114, 15), (115, 15), (116, 15), (201, 1), (202, 1), (203, 1), (204, 1), (205, 1), (255, 1)]
P2_S3/anonymized/auditoryAphasia_6D_350_Block2_Run4.vhdr: [(101, 75), (102, 69), (103, 69), (104, 69), (105, 69), (106, 69), (111, 9), (112, 15), (113, 15), (114, 15), (115, 15), (116, 15), (201, 1), (202, 1), (203, 1), (204, 1), (205, 1), (255, 1)]
