66 	| [103] 	| -1.6240998424339046 	| -1.6917996237270263 	| -1.8305585750852547
67 	| [102] 	| -1.3145177616803823 	| -1.5367320440753591 	| -1.5210899791082912
68 	| [105] 	| -2.854832953352462 	| -2.8184930828893666 	| -2.588239903546986
69 	| [106] 	| -1.0025252101428994 	| -1.1740799786041 	| -1.0687394207144076
70 	| [101] 	| -1.4163629582508457 	| -1.4760799876707855 	| -1.396963032458228
71 	| [114] 	| -1.1987847888639185 	| -1.8508850476148313 	| -1.7816632936976433
72 	| [103] 	| -1.7749648854460773 	| -1.692002866932098 	| -1.839981471363724
73 	| [105] 	| -1.6925169897108274 	| -1.924457428136229 	| -2.052350630055002
74 	| [106] 	| -1.1116665925547382 	| -1.3248507773668419 	| -1.3785175180004758
75 	| [102] 	| -1.5014738641207426 	| -1.749940354579555 	| -1.7458583592564314
76 	| [101] 	| -2.4706431167871505 	| -2.0611925971286142 	| -2.343650561781897
77 	| [114] 	| -0.957948858122993 	| -1.2254083012823618 	| -1.0372549057662994
78 	| [103] 	| -2.5728207644996486 	| -2.662779715405526 	| -2.7951236369359402
79 	| [106] 	| -1.5642439338462155 	| -1.7785202078965154 	| -1.3656918947055594
80 	| [102] 	| -1.076006437363719 	| -1.0012095627289144 	| -0.9629242579370558
81 	| [101] 	| -1.7073959936668457 	| -1.6954541911326413 	| -1.691104977644624
82 	| [114] 	| -1.417131311512057 	| -1.6191414178032548 	| -1.717091924937335
83 	| [105] 	| -2.4497948811734545 	| -2.476923446764424 	| -2.0955062613454056
84 	| [106] 	| -1.6717176080876825 	| -1.5868622050141779 	| -1.62507500531001
85 	| [103] 	| -1.014858942489775 	| -1.227043341315569 	| -1.18245534079233
86 	| [102] 	| -0.9207396487715378 	| -1.4030198273060552 	| -1.4538568687002429
87 	| [101] 	| -2.743677272007882 	| -2.760645726772924 	| -3.0223080492285885
88 	| [105] 	| -1.2101928308263432 	| -0.9917620131057877 	| -0.763371217583594
89 	| [114] 	| -0.4148175449347826 	| -0.5362987810568616 	| -0.6730379508409559
------------------ End of trial ------------------
{real_word} | {LDA_prediction} 	| {SLDA_prediction} 	| {BTLDA_prediction} 
4 			| 4 				| 4 					| 4 
------------------ Run 1 Trial 2  (total trials: 2/108) ------------------
{epoch} | {word_id} | {LDA} 				| {SLDA} 				| {BTLDA} 
90 	| [101] 	| -0.3095924066041815 	| -0.6060121500558611 	| -0.5495564308881933
91 	| [103] 	| -1.1055892009063657 	| -1.254464444324009 	| -1.256385870827669
92 	| [106] 	| -3.1516991733991153 	| -2.818153218515477 	| -3.000409840866784
93 	| [105] 	| -1.7039202718186321 	| -1.6870665941427727 	| -1.674525079095602
94 	| [112] 	| -0.9294047461408257 	| -1.1339161313195985 	| -1.3471022874049694
95 	| [104] 	| -1.5844342675071126 	| -1.6893119614030563 	| -1.7333957137303537
96 	| [103] 	| -2.7391613166363085 	| -2.385228350060894 	| -2.69359892301752
97 	| [101] 	| -1.3774275692834563 	| -1.502262141503843 	| -1.4835927568626648
98 	| [112] 	| -1.8921073681836975 	| -1.7748995892190411 	| -1.7242890843911147
99 	| [104] 	| -1.7008288736652712 	| -1.713837315621896 	| -1.6768677309663964
100 	| [105] 	| -2.3697001294940194 	| -1.8887654634012514 	| -1.917845618939191
101 	| [106] 	| -2.0771200536263184 	| -2.106612652003445 	| -2.275482464313585
102 	| [101] 	| -0.46525199031794817 	| -0.9390184523927241 	| -0.6523632924227865
103 	| [104] 	| -1.6896157398000753 	| -1.6485414814233663 	| -1.76024008435743
104 	| [103] 	| -2.0130235351152894 	| -1.8256708277290676 	| -2.0092302535031004
105 	| [106] 	| -1.1661308133826878 	| -1.355291276629518 	| -1.1087743422764489
106 	| [112] 	| -1.9207500251928353 	| -2.0900481851786763 	| -1.9592498565887568
107 	| [105] 	| -1.0958713518664152 	| -1.2483203047838272 	| -1.1863530580887007
108 	| [104] 	| -2.1876116239308763 	| -2.316405722003277 	| -2.480678310534811
109 	| [106] 	| -1.4412368167578495 	| -1.3048083669269646 	| -1.3282637434889188
110 	| [112] 	| -2.1854376171431906 	| -2.3370156223214065 	| -2.2835108504776658
111 	| [101] 	| -1.321914139122666 	| -1.3578133077003705 	| -1.4226259499244067
112 	| [103] 	| -1.2054139001150403 	| -1.4829320890608724 	| -1.268323870433916
113 	| [105] 	| -2.467945991762727 	| -2.5113228200311197 	| -2.6941798147388147
114 	| [104] 	| -0.9126576402298046 	| -1.347013098293874 	| -1.3263217463723418
115 	| [112] 	| -0.9629877230719541 	| -1.1165189858590248 	| -1.0575361394661127
116 	| [103] 	| -1.5882044545656506 	| -1.8936537454158826 	| -1.9289602293762766
117 	| [105] 	| -2.189662285740895 	| -2.024235923500637 	| -2.039002588068973
118 	| [106] 	| -1.820029943921105 	| -1.8861231859015701 	| -1.7738947814748074
119 	| [101] 	| -1.8620184764194054 	| -1.552498477964505 	| -1.6683637894903123
120 	| [103] 	| -0.6515781892814558 	| -0.9760577743330203 	| -0.7180186468955623
121 	| [112] 	| -1.474000642440962 	| -1.4419733230439058 	| -1.6373919771738423
122 	| [106] 	| -2.2775015819423965 	| -1.9988057915847 	| -1.9842831212774785
123 	| [104] 	| -1.2613293346364387 	| -1.1377454318618965 	| -1.175619113756944
124 	| [101] 	| -1.3956067462253254 	| -1.5792372490151412 	| -1.6539375536898517
125 	| [105] 	| -1.184046147967136 	| -1.057654266713972 	| -1.2281022628489393
126 	| [112] 	| -1.3762203304314733 	| -1.4678938587326709 	| -1.6092548049591247
127 	| [103] 	| -2.3906298437603284 	| -2.292265643045166 	| -2.3185934742015304
128 	| [101] 	| -1.592975999282252 	| -1.5568772229776076 	| -1.3939838834552591
129 	| [104] 	| -1.69343480321615 	| -1.51700521698521 	| -1.544557922659563
130 	| [106] 	| -2.0307501983548994 	| -1.6252039925119923 	| -1.8092572865633605
131 	| [105] 	| -1.71577608743287 	| -1.9278744531648067 	| -1.9767588369560412
132 	| [112] 	| -1.5345891443244097 	| -1.9381964306594135 	| -1.6081035376777837
133 	| [101] 	| -1.0441827217447637 	| -1.0857139052629647 	| -1.0094355078235946
134 	| [104] 	| -1.0032433851564673 	| -1.115213404028753 	| -1.202738473773916
135 	| [103] 	| -1.5628638783934836 	| -1.5481220519718353 	| -1.476456520144334
136 	| [105] 	| -2.5629903327141905 	| -2.538899406009988 	| -2.5981548324173827
137 	| [106] 	| -1.8856225856266624 	| -1.8262928616389398 	| -1.5224639965912172
138 	| [101] 	| -1.5495955125596073 	| -1.649243537223119 	| -1.671631217973533
139 	| [103] 	| -2.167245824483824 	| -2.061295579888321 	| -2.1173935481592467
140 	| [105] 	| -2.0143594088363668 	| -1.8279614331218752 	| -1.8781066284157388
141 	| [104] 	| -2.2383479862953273 	| -1.942010879945152 	| -2.286761993816998
142 	| [106] 	| -1.732551171100051 	| -1.5164993694822881 	| -1.384110203213981
143 	| [112] 	| -1.3641268965512336 	| -1.4799972539947968 	| -1.373870197160233
144 	| [103] 	| -1.8870490906396495 	| -2.0008503997425238 	| -2.0045058647400373
145 	| [104] 	| -2.128204823115009 	| -2.167460488991598 	| -2.1066017159312143
146 	| [105] 	| -1.071433690285932 	| -0.9546251324316518 	| -0.8333976144813382
147 	| [101] 	| -2.2566882087008757 	| -2.1063485654432843 	| -2.385610670585117
