63 	| [105] 	| -0.640246550128198 	| -0.651997132583384 	| -0.4994882452500429
64 	| [106] 	| -2.353007686708778 	| -2.450580136917405 	| -2.5003168686306605
65 	| [113] 	| -2.265373996873733 	| -2.4519781016857918 	| -2.453786367444353
66 	| [102] 	| -2.595803815537317 	| -2.167766871032063 	| -2.1460991938838165
67 	| [104] 	| -0.49517908557253176 	| -0.644770205332668 	| -0.4760424935680221
68 	| [101] 	| -2.8026626828390304 	| -2.615180754690113 	| -2.7450394109004024
69 	| [105] 	| -2.098653781769573 	| -2.086819132387173 	| -1.802641428181281
70 	| [106] 	| -1.8988089731110183 	| -1.8345012797073665 	| -1.7089304622601387
71 	| [113] 	| -1.4115949657355782 	| -1.4256526837439492 	| -1.4129915148819663
72 	| [104] 	| -1.5011422778676926 	| -1.5469310323993821 	| -1.5483973737571728
73 	| [101] 	| -1.8910649887661266 	| -1.8490417021344807 	| -1.8754014943834632
74 	| [102] 	| -2.2116913868041834 	| -2.390323154717326 	| -2.6186208179501147
75 	| [106] 	| -1.9456320128886686 	| -2.1145759529089436 	| -2.047638879628752
76 	| [105] 	| -0.7988980200625411 	| -0.9024932817297938 	| -0.7058115090126376
77 	| [113] 	| -2.967442930422727 	| -2.7100154240865133 	| -2.8226868173365998
78 	| [102] 	| -2.3820872246424565 	| -2.318260822249459 	| -2.494182598714496
79 	| [106] 	| -1.8894625361986828 	| -1.8419000540547454 	| -1.657553469016424
80 	| [104] 	| -1.292183434347735 	| -1.371495968495895 	| -1.4454273436652367
81 	| [113] 	| -2.0797596178611752 	| -1.8860875943205577 	| -1.8804912229872954
82 	| [101] 	| -2.03329024913255 	| -2.2371293900167237 	| -2.174391450960553
83 	| [105] 	| -1.9346547173849413 	| -1.8024063394315721 	| -1.7004126783611522
84 	| [106] 	| -1.6093567242600055 	| -1.7766398201050575 	| -1.5359468633377813
85 	| [113] 	| -1.2473054695561645 	| -1.416792898909697 	| -1.4493820586939465
86 	| [102] 	| -1.873000014939258 	| -1.9522284832846784 	| -2.0102368608788934
87 	| [101] 	| -2.132339851098021 	| -1.9597278056131893 	| -2.0182994472251092
88 	| [105] 	| -1.9180278889712579 	| -1.9319576912507062 	| -2.091354858846162
89 	| [104] 	| -1.7502750169408379 	| -1.7595696976298205 	| -1.7473420033421185
90 	| [106] 	| -1.012053339057597 	| -0.9942110718684083 	| -1.0264440467044644
91 	| [113] 	| -2.353002733417042 	| -2.358923787862312 	| -2.3274325899765085
92 	| [105] 	| -1.5752431742245268 	| -1.7153190544305035 	| -1.5669750078643674
93 	| [101] 	| -2.0034501360111086 	| -1.9622722018774617 	| -2.3960927295409222
94 	| [104] 	| -0.8215936971864702 	| -0.5702863256715547 	| -0.672607294283087
95 	| [102] 	| -1.9479734764554808 	| -1.7579121153419175 	| -1.6555309692426536
96 	| [106] 	| -1.3512715290313775 	| -1.2862149261167606 	| -1.4304195707409233
97 	| [101] 	| -2.659281819549939 	| -2.3054809543666646 	| -2.472366243271563
98 	| [105] 	| -1.8624668194674947 	| -2.1210511445398583 	| -1.9430124141254137
99 	| [104] 	| -2.2311402536447797 	| -1.9897185357364198 	| -2.1900819706329253
100 	| [113] 	| -1.4526057471380611 	| -1.3231669549008345 	| -1.579745117990943
101 	| [102] 	| -1.114397992416787 	| -1.237875545769513 	| -1.1407730194386037
102 	| [105] 	| -2.3190042434217313 	| -2.244334762207039 	| -2.3921799431377293
103 	| [101] 	| -2.427333269798245 	| -2.33177449571377 	| -2.446472186738604
104 	| [113] 	| -1.440671571161874 	| -1.7722594128389568 	| -1.376861964601635
105 	| [106] 	| -1.3190883037857832 	| -1.1064224535805496 	| -1.0078116972173192
106 	| [102] 	| -1.7799956734669635 	| -1.5433170568448482 	| -1.6234804819447601
107 	| [104] 	| -1.839550743453311 	| -1.89008282614931 	| -2.1932319784678236
108 	| [113] 	| -1.3457342549067586 	| -1.518050982213976 	| -1.4276962745952402
109 	| [105] 	| -1.2662657367144197 	| -1.1893941533276673 	| -1.0335550774450448
110 	| [101] 	| -2.028518595961762 	| -2.138489436705343 	| -2.186244129751061
111 	| [102] 	| -1.8275025540167256 	| -1.8869638522344307 	| -2.025014279120149
112 	| [104] 	| -1.3106975406879413 	| -1.407656187157176 	| -1.5694785540040246
113 	| [106] 	| -1.419757838487298 	| -1.2311112219498492 	| -1.1194150496935815
114 	| [101] 	| -1.9896271747137395 	| -2.034231959443982 	| -2.121589557927115
115 	| [105] 	| -2.1611892656964447 	| -2.328701591241822 	| -2.116223320587443
116 	| [104] 	| -2.731372409184382 	| -2.606201669277312 	| -2.718132865638352
117 	| [102] 	| -0.6523336467243315 	| -0.8844961168752757 	| -0.6023247602538182
118 	| [106] 	| -3.135048267741656 	| -2.6591291308495424 	| -2.7074573013502716
119 	| [113] 	| -1.5180745506124884 	| -1.3519847658051904 	| -1.5245872176972393
120 	| [105] 	| -2.449340415614443 	| -2.73360371790599 	| -2.645490483586732
121 	| [101] 	| -1.4485635558130827 	| -1.3339900838659418 	| -1.0612699890895714
122 	| [104] 	| -2.351678816052766 	| -2.000223560123325 	| -2.3110390203336553
123 	| [113] 	| -1.8210371063426438 	| -1.7037070346155396 	| -1.7670176446314954
