65 	| [101] 	| -2.560680984685099 	| -2.3316627562967533 	| -2.3565915120035594
66 	| [102] 	| -2.4513371465784077 	| -2.0165874203100036 	| -2.0508467214579604
67 	| [105] 	| -0.9017220253589406 	| -1.146152883427808 	| -1.0227914227201969
68 	| [106] 	| -1.793694824979428 	| -1.6063752054886473 	| -1.4995711828995186
69 	| [101] 	| -2.734741591402366 	| -2.643159423357426 	| -2.862558015711441
70 	| [114] 	| -1.5111789537021587 	| -1.6108021429124537 	| -1.629534041900635
71 	| [103] 	| -1.1818386549068522 	| -1.2629118122908949 	| -1.2164148781477466
72 	| [105] 	| -1.9210932406371237 	| -1.8728018598815142 	| -1.8755864593558895
73 	| [102] 	| -1.7326260951386214 	| -1.8077572338467012 	| -1.8969560004572483
74 	| [114] 	| -1.5102188052864403 	| -1.5571595054522755 	| -1.6185679373240809
75 	| [101] 	| -1.6908097561150568 	| -1.7035060008038192 	| -1.7302440720745849
76 	| [103] 	| -1.7894475486698278 	| -1.819399128843144 	| -1.5828069793784039
77 	| [106] 	| -2.6207080975860855 	| -2.155444916881923 	| -2.3244994449112255
78 	| [114] 	| -1.3009929926507855 	| -1.5272292665467027 	| -1.604667671040716
79 	| [105] 	| -1.8323750744372473 	| -1.8198748632663124 	| -1.7775044595052067
80 	| [101] 	| -1.3794557974730655 	| -1.3904912825538744 	| -1.2759163543198861
81 	| [106] 	| -2.226496297196824 	| -2.230221242547711 	| -2.3617699522530686
82 	| [103] 	| -1.6312334296953281 	| -1.6268341582087547 	| -1.691973532368129
83 	| [102] 	| -1.8679056975404977 	| -1.5871505547630549 	| -1.4744629805012672
84 	| [114] 	| -2.1465097756962073 	| -2.1315992648121025 	| -2.0396984448789786
85 	| [105] 	| -2.2265615896906925 	| -2.195691709919668 	| -2.298111261258619
86 	| [106] 	| -1.2524224588933346 	| -1.2562087294642472 	| -1.1089926291124481
87 	| [102] 	| -2.21780070480601 	| -2.096957159262093 	| -1.9304894436436861
88 	| [103] 	| -1.4571213898097366 	| -1.3693274545273681 	| -1.4971884722378703
89 	| [101] 	| -1.2101065171358074 	| -1.3352826894346497 	| -1.2408986475193289
------------------ End of trial ------------------
{real_word} | {LDA_prediction} 	| {SLDA_prediction} 	| {BTLDA_prediction} 
4 			| 6 				| 6 					| 6 
Updated all three classifiers, this trial is now included in the training set
------------------ Run 1 Trial 2  (total trials: 2/114) ------------------
{epoch} | {word_id} | {LDA} 				| {SLDA} 				| {BTLDA} 
90 	| [104] 	| -2.0835087739086218 	| -2.062016330940516 	| -2.021942284121988
91 	| [103] 	| -1.2754816287123183 	| -1.1999609014970325 	| -1.2403377377697806
92 	| [105] 	| -1.9246716827370156 	| -1.96505266205531 	| -2.031742628867877
93 	| [106] 	| -1.4408834006247209 	| -1.3916975532573062 	| -1.334587010976938
94 	| [112] 	| -2.0954208162956744 	| -1.9283324037179395 	| -1.957538794416398
95 	| [101] 	| -1.708001093074523 	| -1.6768808247048694 	| -1.6643914910727364
96 	| [103] 	| -1.803956919201978 	| -1.913743257095627 	| -2.09939804137088
97 	| [104] 	| -2.1392026052327795 	| -1.9705240647289357 	| -1.8965560910947348
98 	| [112] 	| -1.3702476391265348 	| -1.2663388578269354 	| -1.2379170256457042
99 	| [101] 	| -2.049905695415186 	| -2.0423324150439477 	| -2.1457399093320557
100 	| [106] 	| -1.4039882241593622 	| -1.443507207445089 	| -1.376673736492375
101 	| [105] 	| -1.9954904416239412 	| -1.8972258997468237 	| -1.804715466510313
102 	| [103] 	| -2.9534025585545463 	| -2.6463661634173086 	| -2.771275930342065
103 	| [101] 	| -1.513391868060355 	| -1.5063610504100349 	| -1.370140922600092
104 	| [112] 	| -1.8918458125636233 	| -1.7000345878355345 	| -1.7684815999274246
105 	| [105] 	| -1.9795370542289705 	| -2.231648757726437 	| -2.271820996330437
106 	| [106] 	| -1.4013170624500852 	| -1.4748912742281377 	| -1.4639040774693806
107 	| [104] 	| -1.047324152221282 	| -1.1220531413215706 	| -0.996328222784562
108 	| [101] 	| -2.616763642902082 	| -2.384353202806241 	| -2.366838994654957
109 	| [105] 	| -1.689172654164686 	| -1.8253120032181012 	| -1.9938788700189023
110 	| [103] 	| -0.8761091016254366 	| -0.9755705361989571 	| -0.8842439066308239
111 	| [112] 	| -2.110660686652648 	| -1.8988742033471662 	| -1.834394444651036
112 	| [104] 	| -2.1737425931518226 	| -1.9636164813288448 	| -2.207277392510139
113 	| [106] 	| -1.72561455020149 	| -1.6976842527967309 	| -1.700031179731126
114 	| [103] 	| -1.6914770558457703 	| -1.48387609195992 	| -1.603773204899898
115 	| [101] 	| -1.0312475061641249 	| -1.1804448720256986 	| -1.2530210258541559
116 	| [105] 	| -1.6158706388017166 	| -1.5804130412542883 	| -1.5530577809086106
117 	| [104] 	| -2.1533288138132383 	| -1.9733763659295416 	| -1.9101853475105104
118 	| [106] 	| -0.6897168806195404 	| -1.1075968209877312 	| -1.1435792639441733
119 	| [112] 	| -1.7397754017732658 	| -1.744651765965726 	| -1.7864084189062897
120 	| [103] 	| -2.2556357221683836 	| -2.103324692111239 	| -2.1708597899195023
121 	| [101] 	| -2.0590776236403467 	| -1.746951237929 	| -1.6376030649209312
122 	| [106] 	| -0.9111507778807282 	| -1.0657831453465456 	| -0.8753537873939201
123 	| [104] 	| -1.5067606514991347 	| -1.6787670394011505 	| -1.880503511156897
124 	| [112] 	| -2.050076970255965 	| -1.9776258060483505 	| -2.175137134762363
125 	| [105] 	| -1.2418765912677978 	| -1.3840055340985467 	| -1.287083411292587
126 	| [103] 	| -0.7544557931675442 	| -0.8818565444123507 	| -0.8054103413238836
127 	| [101] 	| -1.7345371844914792 	| -1.8048580968373054 	| -1.8689159791047325
128 	| [112] 	| -2.1305035110034574 	| -2.0284938708913844 	| -2.2376055047406345
129 	| [106] 	| -2.2846744689819554 	| -2.1056596700863928 	| -2.0667870717841446
130 	| [104] 	| -2.3269651144221535 	| -2.128422665595683 	| -2.268930572142676
131 	| [105] 	| -1.6406169153918002 	| -1.593621738600612 	| -1.575547443539146
132 	| [103] 	| -1.1979810049186963 	| -1.2068987996985039 	| -1.0395111441563645
133 	| [101] 	| -1.8358109469245136 	| -1.8651100157181286 	| -2.1061033693413904
134 	| [104] 	| -2.003587500376538 	| -2.0197439631824023 	| -1.997119823100987
