62 	| [113] 	| -1.9040217256878482 	| -1.8833004661514796 	| -2.029063890009664
63 	| [104] 	| -0.8092875414819761 	| -1.6106186138899765 	| -1.1773671882945065
64 	| [101] 	| -2.999021533166733 	| -2.3529218260236786 	| -2.418140238426501
65 	| [106] 	| -1.346792847514838 	| -1.4887861411790342 	| -1.338891756000308
66 	| [113] 	| -2.8994020252246555 	| -2.159352884171191 	| -2.3448691175412235
67 	| [104] 	| -1.9879275517376223 	| -1.429079309347509 	| -1.6189186044368475
68 	| [105] 	| -1.6568633892438704 	| -2.1067815883918923 	| -1.9035028100808873
69 	| [101] 	| -2.483295420163893 	| -2.0949730255019636 	| -2.234157440762547
70 	| [102] 	| -1.6679649541226356 	| -1.6316093294799454 	| -1.4033179518309484
71 	| [106] 	| -1.759628924582337 	| -1.5490175690358665 	| -1.6804685387078737
72 	| [113] 	| -1.4146369700739458 	| -1.654650495808991 	| -1.58769568646813
73 	| [105] 	| -0.9622773787445589 	| -1.4401575269341031 	| -1.2471663100815529
74 	| [104] 	| -1.729323488596693 	| -1.4861957550247635 	| -1.67577795277841
75 	| [101] 	| -2.6556938029770945 	| -2.247107994691391 	| -2.4017905317742345
76 	| [106] 	| -2.295162665248063 	| -1.9481819593512173 	| -1.9742147329083812
77 	| [102] 	| -1.548447199124932 	| -1.5394822255114191 	| -1.3815279703855818
78 	| [105] 	| -1.3405371996241462 	| -1.4736746023376421 	| -1.5416313575413239
79 	| [101] 	| -1.5334611239341902 	| -1.4013689925384363 	| -1.5908431256934874
80 	| [113] 	| -2.2472447999397764 	| -2.4122671790047656 	| -2.463705897060206
81 	| [106] 	| -1.8937464000337334 	| -1.9029627636155073 	| -2.117909942826792
82 	| [104] 	| -1.0201506879191777 	| -0.9974450373525396 	| -0.9145958845276847
83 	| [102] 	| -2.0015075416273214 	| -1.9301778116453692 	| -1.890254019446036
84 	| [113] 	| -2.210547076498 	| -2.1297529136939284 	| -2.391931471016925
85 	| [106] 	| -1.9784983879145968 	| -2.1545163941948102 	| -2.05014170913233
86 	| [101] 	| -0.885277038390493 	| -1.3886811897235138 	| -1.1783433087631523
87 	| [104] 	| -2.4973255750783157 	| -1.935132556917224 	| -2.17713983711029
88 	| [102] 	| -1.413427142077201 	| -1.5326536198773195 	| -1.2923516456374644
89 	| [105] 	| -0.4366725361768604 	| -0.6866882373683538 	| -0.45887302005073516
90 	| [101] 	| -2.294797742781038 	| -2.554556173715687 	| -2.47842312350419
91 	| [113] 	| -2.743562515371814 	| -1.8815136931533074 	| -2.3290117619740847
92 	| [102] 	| -0.7550923834883951 	| -1.3587620849748823 	| -1.0383738549639774
93 	| [104] 	| -1.319711196840675 	| -1.3453854296626355 	| -1.2079660196337527
94 	| [105] 	| -1.648436214088667 	| -1.5514629352761777 	| -1.6939309809485414
95 	| [106] 	| -2.3894093111902164 	| -2.405750909684835 	| -2.257259893896243
96 	| [101] 	| -1.5568657226884413 	| -1.6290352937567745 	| -1.5320684781154519
97 	| [102] 	| -1.9426664519556973 	| -1.8208732437065456 	| -2.1388521666123235
98 	| [104] 	| -1.935235858616815 	| -2.0702680922642296 	| -1.924022810908747
99 	| [106] 	| -0.3186833352481928 	| -0.8122577166205394 	| -0.4751536412247781
100 	| [113] 	| -3.0228886122700245 	| -2.450782682908386 	| -2.766898500891771
101 	| [105] 	| -2.329970509072801 	| -2.406401690081071 	| -2.4540740663094063
102 	| [102] 	| -0.6099273499999585 	| -1.2006752243952314 	| -0.8695926342151341
103 	| [101] 	| -0.8558158078555862 	| -0.9191410090885741 	| -1.0023689897573174
104 	| [106] 	| -1.9412031535688739 	| -1.7676727521669984 	| -2.0400411890171557
105 	| [104] 	| -2.8702124810083647 	| -2.206960358018128 	| -2.2220188417964954
106 	| [105] 	| -2.3486316456892657 	| -2.3213646973176663 	| -2.14866497907879
107 	| [113] 	| -0.5307337831926278 	| -0.844773173107041 	| -0.8650744793569398
108 	| [101] 	| -2.2309761932221903 	| -1.853486762745378 	| -1.8277140676386796
109 	| [104] 	| -1.3524451024202762 	| -1.5885729822433168 	| -1.5507675495158637
110 	| [106] 	| -0.6213743878517908 	| -1.3730614835174295 	| -1.423343265043689
111 	| [113] 	| -2.388635149164682 	| -1.9950158196939325 	| -1.9798832291390354
112 	| [105] 	| -2.1804440627172603 	| -1.7639594090287507 	| -1.9236179842446222
113 	| [102] 	| -1.637867265930703 	| -1.6903429101077243 	| -1.7947965455124046
114 	| [104] 	| -1.2580990516783364 	| -1.2761016732909332 	| -1.3046450663755151
115 	| [106] 	| -2.4512329692663 	| -2.2812297071306116 	| -2.4044717460794423
116 	| [113] 	| -1.8487875663671882 	| -1.9431852895662696 	| -2.0535407510931014
117 	| [105] 	| -2.0365194082486178 	| -1.9522854144958608 	| -2.1196810747643386
118 	| [102] 	| -0.6273833189027285 	| -0.7046065860358632 	| -0.4882458151648825
119 	| [101] 	| -1.6514992084074973 	| -1.6481268004549796 	| -1.3545161429118773
