New log file - 2025-06-15 03:15:27
================================ Calibration ================================
Calibration data filenames: ['P1_S3/anonymized/auditoryAphasia_6D_350_Block1_Run1.vhdr', 'P1_S3/anonymized/auditoryAphasia_6D_350_Block1_Run2.vhdr', 'P1_S3/anonymized/auditoryAphasia_6D_350_Block1_Run3.vhdr', 'P1_S3/anonymized/auditoryAphasia_6D_350_Block1_Run4.vhdr', 'P1_S3/anonymized/auditoryAphasia_6D_350_Block1_Run5.vhdr', 'P1_S3/anonymized/auditoryAphasia_6D_350_Block1_Run6.vhdr', 'P1_S3/anonymized/auditoryAphasia_6D_350_Block2_Run1.vhdr', 'P1_S3/anonymized/auditoryAphasia_6D_350_Block2_Run2.vhdr', 'P1_S3/anonymized/auditoryAphasia_6D_350_Block2_Run3.vhdr', 'P1_S3/anonymized/auditoryAphasia_6D_350_Block2_Run4.vhdr', 'P1_S3/anonymized/auditoryAphasia_6D_350_Block2_Run5.vhdr', 'P1_S3/anonymized/auditoryAphasia_6D_350_Block2_Run6.vhdr', 'P1_S3/anonymized/auditoryAphasia_6D_350_Block3_Run1.vhdr', 'P1_S3/anonymized/auditoryAphasia_6D_350_Block3_Run2.vhdr']
------------------------- Preprocessing configurations -------------------------
filter_band: (0.5, 16)
non_eeg_channels: ['EOGvu', 'x_EMGl', 'x_GSR', 'x_Respi', 'x_Pulse', 'x_Optic']
decimate: 10
montage: standard_1020
filter_method: iir
only_eeg: True
tmin: -0.2
tmax: 1
baseline: None
channels_to_discard: ['AF7', 'AF3', 'AF4', 'AF8', 'F5', 'F1', 'F2', 'F6', 'FT7', 'FC3', 'FCz', 'FC4', 'FT8', 'C5', 'C1', 'C2', 'C6', 'TP7', 'CP3', 'CPz', 'CP4', 'TP8', 'P5', 'P1', 'P2', 'P6', 'PO7', 'PO5', 'POz', 'PO6', 'PO8', 'Oz']
channels_to_use: ['Fp1', 'Fp2', 'F3', 'F4', 'C3', 'C4', 'P3', 'P4', 'O1', 'O2', 'F7', 'F8', 'T7', 'T8', 'P7', 'P8', 'Fz', 'Cz', 'Pz', 'FC1', 'FC2', 'CP1', 'CP2', 'FC5', 'FC6', 'CP5', 'CP6', 'F9', 'F10', 'P9', 'P10']
fs: 100.0
------------------------- Feature extraction -------------------------
time_interval_boundaries: [0.1  0.15 0.2  0.25 0.3  0.35 0.4  0.45 0.5  0.55 0.6  0.65 0.7  0.75
 0.8 ]
data_is_channel_prime: True
X.shape (epochs, features): (7182, 434)
y.shape (epochs,): (7182,)
----------------------------------------------------------------------
Full loaded n_calibration_trials: 84
Full loaded n_calibration_epochs: 7182
with the per-run iteration structure:
[[15  8 15 15 15 15]
 [15 15 15 15 15 15]
 [15 15 15 14 15 15]
 [15  8 15 15 15 15]
 [15  8  8 15 15 15]
 [15 15 15 15 14 15]
 [10 15 15 15 15 15]
 [15 15 15 15 15 15]
 [15 15 15 15 15 15]
 [15 15 15 15 15 15]
 [15 15 15 15 15 10]
 [15 15 15 13 15 15]
 [15 15 12 15 15  8]
 [15 15 10 15 15  9]]
================================ Online ================================
Online data filenames: ['P1_S4/anonymized/auditoryAphasia_6D_350_Block1_Run1.vhdr', 'P1_S4/anonymized/auditoryAphasia_6D_350_Block1_Run2.vhdr', 'P1_S4/anonymized/auditoryAphasia_6D_350_Block1_Run3.vhdr', 'P1_S4/anonymized/auditoryAphasia_6D_350_Block1_Run4.vhdr', 'P1_S4/anonymized/auditoryAphasia_6D_350_Block1_Run5.vhdr', 'P1_S4/anonymized/auditoryAphasia_6D_350_Block1_Run6.vhdr', 'P1_S4/anonymized/auditoryAphasia_6D_350_Block2_Run1.vhdr', 'P1_S4/anonymized/auditoryAphasia_6D_350_Block2_Run2.vhdr', 'P1_S4/anonymized/auditoryAphasia_6D_350_Block2_Run3.vhdr', 'P1_S4/anonymized/auditoryAphasia_6D_350_Block2_Run4.vhdr', 'P1_S4/anonymized/auditoryAphasia_6D_350_Block2_Run5.vhdr', 'P1_S4/anonymized/auditoryAphasia_6D_350_Block2_Run6.vhdr', 'P1_S4/anonymized/auditoryAphasia_6D_350_Block3_Run1.vhdr', 'P1_S4/anonymized/auditoryAphasia_6D_350_Block3_Run2.vhdr', 'P1_S4/anonymized/auditoryAphasia_6D_350_Block3_Run3.vhdr', 'P1_S4/anonymized/auditoryAphasia_6D_350_Block3_Run4.vhdr', 'P1_S4/anonymized/auditoryAphasia_6D_350_Block3_Run5.vhdr']
Same preprocessing configurations as for the calibration data
------------------------- Feature extraction -------------------------
time_interval_boundaries: [0.1  0.15 0.2  0.25 0.3  0.35 0.4  0.45 0.5  0.55 0.6  0.65 0.7  0.75
 0.8 ]
data_is_channel_prime: True
----------------------------------------------------------------------
n_online_trials: 102
n_online_epochs 8226
with the per-run iteration structure:
[[ 8 15 15 15 13 15]
 [15 15 14 15 13 15]
 [15 15 14 15 15 10]
 [15 15  9  8 15 15]
 [ 9  9 15 15 15  8]
 [ 8 15 15 15 15 15]
 [15 15 15 15 15  8]
 [15 14 15 12 11 15]
 [14 15 15  9  9 15]
 [ 8 15  8 15 15  8]
 [11 15 15  8 15 15]
 [ 8 15 15 15 15  8]
 [15 15 15 15 15 15]
 [15 15 15 15  8 15]
 [14 15 15  8 15 15]
 [15 15  9 12 15 15]
 [15 15 15 15 11 15]]
Online simulation starts
Number of online trials: 102, which is 17.0 runs
------------------ Run 1 Trial 1  (total trials: 1/102) ------------------
{epoch} | {word_id} | {BTLDA} 
{epoch} | {word_id} | {BTLDA} 
138 	| 104 	| -2.5492451803780454
139 	| 102 	| -1.8830160922218937
140 	| 103 	| -0.9942531366979169
141 	| 105 	| -2.4845518482476807
142 	| 106 	| -1.32550740102156
143 	| 111 	| -1.6391407922481327
144 	| 105 	| -3.2667142756359597
145 	| 103 	| -2.163727338451321
146 	| 111 	| -0.24145239433068477
147 	| 104 	| -2.887138966422505
148 	| 102 	| -2.286785668101966
149 	| 106 	| -2.8504577105689317
150 	| 111 	| 0.177138228503947
151 	| 105 	| -2.473406679208196
152 	| 102 	| -2.2282820540420083
153 	| 104 	| -0.6310835763063748
154 	| 103 	| -2.949425834743212
155 	| 106 	| -0.9235471290261168
156 	| 111 	| -1.6497144226056553
157 	| 105 	| -1.2645351847274022
158 	| 104 	| -2.3028802876830032
159 	| 103 	| -1.0355566713394502
160 	| 102 	| -2.928519364989477
161 	| 106 	| -0.8759825803093413
162 	| 103 	| -2.3727437462649985
163 	| 111 	| -0.6895973451499926
164 	| 102 	| -2.531737080272047
165 	| 105 	| -1.6529287420658978
166 	| 106 	| -2.3706195588327854
167 	| 104 	| -1.2487984073069573
168 	| 102 	| -1.6633536166807428
169 	| 103 	| -2.0145866831811268
170 	| 111 	| -0.3866354736899562
171 	| 105 	| -2.4840165026291334
172 	| 106 	| -1.4049338997617273
173 	| 104 	| -1.6631012377930032
174 	| 111 	| -1.9807839654051582
175 	| 102 	| -2.8286464232519863
176 	| 106 	| -1.333500168289715
177 	| 104 	| -1.14883376562444
178 	| 105 	| -2.160600373377681
179 	| 103 	| -1.9212438683404867
180 	| 102 	| -3.1220899217321265
181 	| 104 	| -1.8142654006547514
182 	| 105 	| -1.8198182237584561
183 	| 111 	| -1.3049640989303697
184 	| 103 	| -0.973876076193439
185 	| 106 	| -0.8411056060385683
186 	| 111 	| -3.0320576716535252
187 	| 104 	| -1.830326168443454
188 	| 103 	| -1.8920514407266498
189 	| 106 	| -2.7099126245521914
190 	| 105 	| -1.440367092234076
191 	| 102 	| -2.2912367536738367
192 	| 104 	| -2.699882636485604
193 	| 103 	| -2.0493679654861294
194 	| 111 	| -1.006455080956571
195 	| 102 	| -1.9774630225950627
196 	| 106 	| -2.4259679359873476
197 	| 105 	| -1.8242706750924147
198 	| 111 	| -1.0851729988319945
199 	| 102 	| -3.137645886767153
200 	| 104 	| -2.0146416354978
201 	| 106 	| -0.6890559989365076
202 	| 103 	| -1.9511365790606512
203 	| 105 	| -2.6650341185994226
204 	| 102 	| -1.6082330255331816
205 	| 111 	| -0.7435058366982498
206 	| 106 	| -3.16445564043052
207 	| 104 	| -1.2891191175296153
208 	| 105 	| -1.2737700626315254
209 	| 103 	| -1.520507655694082
210 	| 104 	| -2.414524154167474
211 	| 111 	| -1.0260891895788609
212 	| 106 	| -1.8482764314375222
213 	| 102 	| -2.401748674036505
214 	| 105 	| -1.2264352879586427
215 	| 103 	| -1.5694756607177416
216 	| 102 	| -1.841706455081492
217 	| 104 	| -0.5837466761541404
218 	| 103 	| -2.1328368045176163
219 	| 105 	| -2.4805355103936537
220 	| 111 	| -0.9842661687465326
221 	| 106 	| -1.3587159000903555
222 	| 102 	| -2.370997247203449
223 	| 103 	| -1.2805624156179483
224 	| 106 	| -1.8660347931865506
225 	| 111 	| -0.1065560301501507
226 	| 104 	| -3.814922776708508
227 	| 105 	| -1.6572205833285794
------------------ End of trial ------------------
{real_word} | {BTLDA_prediction} 
1 			| 1
------------------ Run 1 Trial 4  (total trials: 4/102) ------------------
{epoch} | {word_id} | {BTLDA} 
228 	| 115 	| -0.9049260906805486
229 	| 106 	| -2.2254629207423773
230 	| 102 	| -2.024809005878309
231 	| 104 	| -3.026645286209101
232 	| 103 	| -1.9846169941085228
233 	| 101 	| -0.3727740106988412
234 	| 102 	| -3.4835156350674237
235 	| 104 	| -1.904860107629236
236 	| 103 	| -2.2338734963922304
237 	| 106 	| -1.6451388853572113
238 	| 115 	| -0.7055860246620353
239 	| 101 	| -2.091643973269378
240 	| 103 	| -3.824821409444347
241 	| 106 	| -1.672670737272913
242 	| 101 	| -0.02337192199833049
243 	| 104 	| -2.93556137580768
244 	| 102 	| -1.0588281842040188
245 	| 115 	| -1.4492573273869729
246 	| 106 	| -1.803413609667691
247 	| 102 	| -2.47355359016268
248 	| 104 	| -0.8944916601760518
249 	| 103 	| -1.2405603562490106
250 	| 115 	| -2.3825126805489196
251 	| 101 	| -2.5072694692835444
252 	| 106 	| -2.3225900586914343
253 	| 104 	| -0.8374898651068321
254 	| 115 	| -2.5460077483190102
255 	| 103 	| -1.9706193190527923
256 	| 101 	| -0.6335241877990354
257 	| 102 	| -1.5907632799550702
258 	| 106 	| -2.5883243444771136
259 	| 103 	| -2.205094567313765
260 	| 101 	| -0.36331698804680546
261 	| 102 	| -3.78699664746532
262 	| 115 	| 0.16711472733466737
263 	| 104 	| -1.8489822180758986
264 	| 101 	| -1.1548912061001213
265 	| 103 	| -1.5504250301535945
266 	| 104 	| -1.7559489344492905
267 	| 102 	| -3.639603372299621
268 	| 106 	| -1.090541653562711
269 	| 115 	| -0.062274833008134745
270 	| 102 	| -1.494296271243503
271 	| 106 	| -2.650707705848531
272 	| 104 	| -3.2589972371501816
273 	| 115 	| -0.17487521458343291
274 	| 101 	| -1.5917847791819546
275 	| 103 	| -2.853067203795121
276 	| 106 	| -1.923754761116971
277 	| 102 	| -1.9618353216809181
