INFO:root:New log file
INFO:root:Trained all three classifiers on the calibration data.
INFO:root:Online simulation starts
INFO:root:Number of online trials: 10, which is 1.6666666666666667 runs
INFO:root:------------------ Run 1 Trial 2  (total trials: 1/10) ------------------
INFO:root:{epoch} 	| {word_id} 	| {LDA} 	| {SLDA} 	| {BTLDA} 
INFO:root:61 	| [101] 	| -2.079700974918352 	| -1.5618225845744125 	| -1.6378504018490831
INFO:root:62 	| [105] 	| -1.216300059722236 	| -1.873731025774064 	| -1.9791063710322012
INFO:root:63 	| [103] 	| -0.4865098680537283 	| -1.3826257640543884 	| -1.435132923643447
INFO:root:64 	| [102] 	| -2.2925976795515033 	| -1.8943777476685475 	| -1.972368233713957
INFO:root:65 	| [104] 	| -1.9427519501429351 	| -1.7574093664993458 	| -1.7309555394614475
INFO:root:66 	| [105] 	| -3.2103807085462153 	| -2.116085163810408 	| -2.277186004182783
INFO:root:67 	| [101] 	| -0.5627372706020224 	| -1.4503410192481916 	| -1.3582452764575876
INFO:root:68 	| [102] 	| -2.7334802675332677 	| -2.0475092487161697 	| -2.1771426101458298
INFO:root:69 	| [103] 	| -2.734186185480172 	| -2.1115960776549723 	| -2.2906388069162396
INFO:root:70 	| [116] 	| -1.778556843912127 	| -1.8085143216000765 	| -1.9163608689589968
INFO:root:71 	| [104] 	| 0.750454171871914 	| -1.160253233407245 	| -1.0526004854971147
INFO:root:72 	| [105] 	| -2.405245967053949 	| -2.2660683526949263 	| -2.4152598385026036
INFO:root:73 	| [102] 	| -1.1479732631168305 	| -1.7964590346719165 	| -1.954711250609824
INFO:root:74 	| [116] 	| -0.3402046274936783 	| -0.7653150271929539 	| -0.5193825691620689
INFO:root:75 	| [101] 	| -1.6363434949916884 	| -2.100890563465906 	| -2.2226139028325944
INFO:root:76 	| [103] 	| -1.0256538152786532 	| -0.9529356295293117 	| -0.8356106109893158
INFO:root:77 	| [104] 	| -3.369373266482616 	| -2.134949060003457 	| -2.1404948250048883
INFO:root:78 	| [116] 	| 0.40689331780968807 	| -2.0553112639253723 	| -1.9680360449741903
INFO:root:79 	| [103] 	| -3.4849135487417042 	| -2.068533880912937 	| -2.3568604608084924
INFO:root:80 	| [104] 	| -2.2565488623987773 	| -1.7320125470837762 	| -1.9768605475061094
INFO:root:81 	| [105] 	| -2.899729406249765 	| -1.7659541419486673 	| -1.7626919644051138
INFO:root:82 	| [102] 	| -2.044545026244227 	| -1.5613875209846388 	| -1.4926165073004831
INFO:root:83 	| [101] 	| -2.323367978088659 	| -1.647632438074543 	| -1.6847242351572247
INFO:root:84 	| [116] 	| -1.4196637411833832 	| -1.1724036006593814 	| -1.1933038549965882
INFO:root:85 	| [103] 	| -2.626495068129131 	| -1.898646458151597 	| -2.0238053747561064
INFO:root:86 	| [105] 	| -2.9325929569344376 	| -2.3743233274907096 	| -2.5227610363795927
INFO:root:87 	| [101] 	| -2.7277653085246145 	| -1.955897865940288 	| -1.964307664296158
INFO:root:88 	| [104] 	| -2.303607586347689 	| -1.7052820504465893 	| -1.763434094932032
INFO:root:89 	| [102] 	| -4.308403908333357 	| -1.4611196384524558 	| -1.5673600020807186
INFO:root:------------------ End of trial ------------------
INFO:root:{real_word} 	| {LDA_prediction} 	| {SLDA_prediction} 	| {BTLDA_prediction} 
INFO:root:6 	| 6 	| 6 	| 6 
INFO:root:------------------ Run 1 Trial 3  (total trials: 2/10) ------------------
INFO:root:{epoch} 	| {word_id} 	| {LDA} 	| {SLDA} 	| {BTLDA} 
INFO:root:90 	| [104] 	| -2.5254356786973684 	| -1.9935486820691475 	| -2.060488767795539
INFO:root:91 	| [102] 	| -0.09818248156078435 	| -1.0355519262660902 	| -0.7908788063559049
INFO:root:92 	| [113] 	| -2.6413650826196964 	| -2.042917490185055 	| -2.0623892388014746
INFO:root:93 	| [105] 	| -2.1699631123313443 	| -2.063328877791416 	| -2.2252395225075965
INFO:root:94 	| [106] 	| -3.3547753215602736 	| -2.411161829449948 	| -2.713088969575666
INFO:root:95 	| [101] 	| 0.46677911164372743 	| -1.1169232777772553 	| -0.911135899822397
INFO:root:96 	| [102] 	| -2.1269368836684555 	| -2.0659962571044095 	| -2.091229632566063
INFO:root:97 	| [104] 	| -3.2831639678468907 	| -1.2189997293095147 	| -1.056249829680512
INFO:root:98 	| [106] 	| -2.8065243971844263 	| -2.1914670514349366 	| -2.3527264687457103
INFO:root:99 	| [113] 	| -1.5048935846015705 	| -1.5095241876223204 	| -1.5107566908092196
INFO:root:100 	| [105] 	| -1.8076648346296005 	| -1.8567669847290325 	| -1.863049582261042
INFO:root:101 	| [101] 	| -0.7394675349915854 	| -1.2551378268419198 	| -1.2156986600185176
INFO:root:102 	| [104] 	| -2.6911367181350814 	| -2.27316683399086 	| -2.3588448181609234
INFO:root:103 	| [106] 	| -1.436759561820308 	| -1.842774471537597 	| -1.9208961178864468
INFO:root:104 	| [113] 	| -2.7491754410387714 	| -1.9060186361266245 	| -2.028185003350892
INFO:root:105 	| [102] 	| -2.572948546184209 	| -2.0148896564243572 	| -2.1266842591216815
INFO:root:106 	| [105] 	| -3.7743523945953235 	| -2.200677895884321 	| -2.2927633340654374
INFO:root:107 	| [101] 	| -2.162259429736012 	| -2.0112011496461877 	| -2.1026698397062233
INFO:root:108 	| [113] 	| -2.674689389146428 	| -1.8735827590977552 	| -1.8390872816775778
INFO:root:109 	| [105] 	| -2.35467004877396 	| -1.7530549902735022 	| -1.8181787497407218
INFO:root:110 	| [106] 	| -3.491219912841868 	| -2.1238558957217806 	| -2.317041701327067
INFO:root:111 	| [101] 	| -3.9355332278801107 	| -2.206358364759782 	| -2.481131646960092
INFO:root:112 	| [104] 	| -0.4407545662387924 	| -1.6431912788292247 	| -1.5457662280653386
INFO:root:113 	| [102] 	| -0.6932773464997284 	| -1.4848788699006348 	| -1.3878940047371273
INFO:root:114 	| [106] 	| -2.57424739571014 	| -1.7261296222552134 	| -1.6721073709381922
INFO:root:115 	| [105] 	| -3.7789284183189977 	| -2.135876995407088 	| -2.4391786447575257
INFO:root:116 	| [101] 	| -2.5280985260378612 	| -2.0715991666360547 	| -2.14471911574309
INFO:root:117 	| [102] 	| -2.94821026903098 	| -2.134485280803479 	| -2.1481025970274494
INFO:root:118 	| [113] 	| -0.8332021490273969 	| -1.6055897135677657 	| -1.5394283248996985
INFO:root:119 	| [104] 	| -2.775012388362184 	| -1.3965143251658305 	| -1.404322234910475
INFO:root:120 	| [101] 	| -1.884058384514877 	| -1.992735975083984 	| -2.0333619893789754
INFO:root:121 	| [105] 	| -2.7834648555106707 	| -2.0495664369823525 	| -2.1332704267768547
INFO:root:122 	| [102] 	| -3.6275758868403445 	| -1.551991614057828 	| -1.5743353544551566
INFO:root:123 	| [104] 	| -2.9630518436280555 	| -1.6941220676040083 	| -1.652108279938296
INFO:root:124 	| [106] 	| -0.8327120896184166 	| -1.4321609032941724 	| -1.3608965769683454
INFO:root:125 	| [113] 	| -2.2692560310782564 	| -1.895958008682054 	| -2.062069675426015
INFO:root:126 	| [105] 	| -4.193070120023057 	| -2.4249033581712234 	| -2.543281253597414
INFO:root:127 	| [102] 	| -2.288079315654419 	| -1.6360641919243195 	| -1.5381270287169504
INFO:root:128 	| [101] 	| -0.974100061074626 	| -1.6636226131850462 	| -1.5198728047317642
INFO:root:129 	| [104] 	| -2.974022932186479 	| -2.6413305962090696 	| -2.790226895918732
INFO:root:130 	| [113] 	| -0.1614944955270614 	| -0.4005986276974687 	| -0.08860088380796893
INFO:root:131 	| [106] 	| -2.405423571274036 	| -2.4028629758068067 	| -2.73649338714482
INFO:root:132 	| [101] 	| -3.2230236775759833 	| -1.7914867574419975 	| -1.8388188172579047
INFO:root:133 	| [104] 	| -1.51080169772131 	| -1.7631231974418342 	| -1.8279657953529558
INFO:root:134 	| [113] 	| -1.7471877819171557 	| -1.5244081562961043 	| -1.4616600329761549
INFO:root:135 	| [102] 	| -2.038360803139779 	| -1.863013271528151 	| -1.8902401613066437
INFO:root:136 	| [106] 	| -3.153262584872115 	| -1.901868387251073 	| -1.8897500979890585
INFO:root:137 	| [105] 	| -2.6521998228929835 	| -1.8053143399859808 	| -1.9353558005629636
INFO:root:138 	| [102] 	| -1.9057038881692607 	| -2.140231592623133 	| -2.1597522920500833
INFO:root:139 	| [101] 	| -2.5330591445615247 	| -1.5230567328457276 	| -1.4218860202107249
INFO:root:140 	| [113] 	| -3.3301688502438207 	| -2.1510612608548247 	| -2.201135175593207
INFO:root:141 	| [104] 	| -1.3840566066475848 	| -1.6181603381949348 	| -1.571173803496912
INFO:root:142 	| [106] 	| -3.228450341949693 	| -2.6778184970335195 	| -2.9952950251527617
INFO:root:143 	| [105] 	| -1.520788743258864 	| -0.9516152361244608 	| -0.8570547460998661
INFO:root:144 	| [101] 	| 0.4308574090909003 	| -1.3485407079523242 	| -1.0724356473834733
INFO:root:145 	| [104] 	| -1.578143705407681 	| -1.8672161106578078 	| -2.086953979723023
INFO:root:146 	| [102] 	| -1.5457252608043686 	| -1.1865734149615483 	| -1.2679745624469279
INFO:root:147 	| [106] 	| -1.4609681009018851 	| -2.3174116903625017 	| -2.4668708961640946
