INFO:root:New log file
INFO:root:Trained all three classifiers on the calibration data.
INFO:root:Online simulation starts
INFO:root:Number of online trials: 84, which is 14.0 runs
INFO:root:------------------ Run 1 Trial 1 ------------------
INFO:root:{epoch} 	| {word_id} 	| {LDA} 	| {SLDA} 	| {BTLDA} 
INFO:root:62 	| [113] 	| -0.7733732705453413 	| -1.2581454985617586 	| -1.040795248615085
INFO:root:63 	| [101] 	| -3.1512019930853308 	| -2.656969281928078 	| -3.0185246585463066
INFO:root:64 	| [106] 	| 0.7171295286154054 	| -0.8104064930929386 	| -0.5583085140645188
INFO:root:65 	| [105] 	| -2.092576234118316 	| -1.6960161968525445 	| -1.8165370634195865
INFO:root:66 	| [113] 	| -1.5784531111370783 	| -1.5747431619286238 	| -1.6458372323090549
INFO:root:67 	| [102] 	| -1.8241225407759216 	| -1.7971805378949344 	| -1.8384411832540413
INFO:root:68 	| [106] 	| -2.1746097592360547 	| -1.7194111656992999 	| -1.7635737024764615
INFO:root:69 	| [101] 	| -1.610611264560379 	| -1.8075920770416207 	| -1.8143555525744697
INFO:root:70 	| [104] 	| -2.574414830890522 	| -1.9927293614025336 	| -2.159998103339819
INFO:root:71 	| [105] 	| -2.397417789608756 	| -1.833602055846847 	| -1.8490451922616626
INFO:root:72 	| [113] 	| -0.6650792019685974 	| -1.5383561287624288 	| -1.2998352244606126
INFO:root:73 	| [104] 	| -1.5734940528602805 	| -1.6541921933574588 	| -1.6081677633474931
INFO:root:74 	| [101] 	| -1.1472016475197033 	| -1.5174931431974972 	| -1.5285043135440133
INFO:root:75 	| [102] 	| -2.0871015426569794 	| -1.8733836385450056 	| -1.831876257603762
INFO:root:76 	| [105] 	| -1.4457178524885435 	| -1.8412612966135595 	| -1.8743692866566748
INFO:root:77 	| [106] 	| -2.7703750829875866 	| -1.8646801800087835 	| -2.05041573766064
INFO:root:78 	| [104] 	| -2.623035615456889 	| -1.165100514419001 	| -1.3599261645321892
INFO:root:79 	| [105] 	| -1.1018231700426275 	| -1.734619453418416 	| -1.3667919403590665
INFO:root:80 	| [101] 	| -1.9344541886863968 	| -1.4697251403209113 	| -1.3513110310096679
INFO:root:81 	| [113] 	| -2.131316310364931 	| -1.7752486010142563 	| -1.8729784812577743
INFO:root:82 	| [106] 	| -0.5797038927279596 	| -1.754744939687667 	| -1.5438886128713016
INFO:root:83 	| [102] 	| -2.2897660508464344 	| -1.7310741594470485 	| -1.7435688401247098
INFO:root:84 	| [104] 	| -1.9050953349995394 	| -1.9418882594883453 	| -2.127605993169789
INFO:root:85 	| [106] 	| -0.9170014437428743 	| -1.5495549605918675 	| -1.5258255002065675
INFO:root:86 	| [105] 	| -1.407010474925104 	| -0.8264005959749783 	| -0.7052720525091414
INFO:root:87 	| [113] 	| -4.023340892957581 	| -2.4380474203864906 	| -2.7834084456172885
INFO:root:88 	| [102] 	| 2.030769523079724 	| -2.1791142656690936 	| -1.8502464830412753
INFO:root:89 	| [101] 	| -0.9200514314700009 	| -1.4499391984566774 	| -1.2794524531772082
INFO:root:------------------ End of trial ------------------
INFO:root:{real_word} 	| {LDA_prediction} 	| {SLDA_prediction} 	| {BTLDA_prediction} 
INFO:root:3 	| 3 	| 3 	| 3 
INFO:root:Updated all three classifiers, this trial is now included in the training set
INFO:root:------------------ Run 1 Trial 2 ------------------
INFO:root:{epoch} 	| {word_id} 	| {LDA} 	| {SLDA} 	| {BTLDA} 
INFO:root:90 	| [114] 	| -1.7892699313504292 	| -1.752008130703939 	| -1.802162633458999
INFO:root:91 	| [106] 	| -2.628016263960607 	| -1.8364195551062632 	| -1.8061027040861077
INFO:root:92 	| [105] 	| -3.3090614151385447 	| -1.9966245988556341 	| -2.222155309301707
INFO:root:93 	| [103] 	| -1.5653755228202182 	| -1.2273558530624344 	| -1.2660426205563042
INFO:root:94 	| [102] 	| -3.3604937760283375 	| -2.5450265365850377 	| -2.884864643601355
INFO:root:95 	| [101] 	| -0.19576926406618678 	| -0.5131632261819519 	| -0.19364863449495406
INFO:root:96 	| [114] 	| -0.929798467557308 	| -1.0959654606528302 	| -0.9019209463582881
INFO:root:97 	| [105] 	| -1.1556829451049322 	| -1.7189325831125013 	| -1.618379931314371
INFO:root:98 	| [103] 	| -1.921933395533789 	| -1.788674912010141 	| -1.7962685255567714
INFO:root:99 	| [101] 	| -2.662524749787903 	| -1.572599854014558 	| -1.7385059887980614
INFO:root:100 	| [106] 	| -0.6195059173827313 	| -1.303688147293107 	| -1.4024597873210893
INFO:root:101 	| [102] 	| -0.7160988642409185 	| -1.313874336819982 	| -1.116794445841105
INFO:root:102 	| [103] 	| -1.6444234729717013 	| -1.41206728857769 	| -1.3375512504784046
INFO:root:103 	| [106] 	| -0.8458069815516562 	| -1.3001090800881177 	| -1.1639327323400357
INFO:root:104 	| [102] 	| -3.4918369092602077 	| -2.920565141351052 	| -3.4775788123351314
INFO:root:105 	| [101] 	| -0.7765619010390763 	| -0.8731044290223469 	| -0.46012584674057877
INFO:root:106 	| [105] 	| -0.26937129625256895 	| -1.1044773677179813 	| -0.7568648060385839
INFO:root:107 	| [114] 	| -2.0426442698094753 	| -1.9763347728240972 	| -2.0574482334701814
INFO:root:108 	| [101] 	| -3.2557094905549295 	| -2.6326502789140958 	| -2.9664112475162003
INFO:root:109 	| [103] 	| -1.2057844442287444 	| -0.8690186223004401 	| -1.036184467437983
INFO:root:110 	| [114] 	| -2.6018844235241043 	| -2.5248856778035287 	| -2.3289732319599272
INFO:root:111 	| [106] 	| -1.118734199568012 	| -1.4260192337054969 	| -1.327953004597529
INFO:root:112 	| [102] 	| -0.14955189676822989 	| -0.6569272314928141 	| -0.4383771801964492
INFO:root:113 	| [105] 	| -3.691566462308849 	| -2.45453226071562 	| -2.838760993108691
INFO:root:114 	| [103] 	| -2.160863262824753 	| -1.6746207306368035 	| -1.7426393704935905
INFO:root:115 	| [114] 	| -0.6179370265841682 	| -1.3467338419225274 	| -1.114386933885398
INFO:root:116 	| [105] 	| -1.008102332834158 	| -1.7432102398626885 	| -1.9240133509868098
INFO:root:117 	| [102] 	| -2.2847292275905517 	| -1.4501588614588135 	| -1.4149023413136625
INFO:root:118 	| [101] 	| -0.05837756682450701 	| -0.5687129639400097 	| -0.2908620367849543
INFO:root:119 	| [106] 	| -1.2573686835828113 	| -1.033740757037232 	| -1.1418101344661276
INFO:root:120 	| [102] 	| -1.4781896175490552 	| -2.168157773387887 	| -2.5535818070769003
INFO:root:121 	| [114] 	| -1.3764685160690981 	| -1.047104289543924 	| -0.9150251880079384
INFO:root:122 	| [106] 	| -3.5168456723401755 	| -2.1275427829301217 	| -1.950087190845263
INFO:root:123 	| [103] 	| -2.415619652135067 	| -1.9846300206482548 	| -1.9056008100669661
INFO:root:124 	| [105] 	| -2.5604786129078456 	| -2.197626168464624 	| -2.30876337074177
INFO:root:125 	| [101] 	| -2.727878520804025 	| -1.7561897015002221 	| -1.9693986779481132
INFO:root:126 	| [114] 	| -2.9679023898193 	| -2.4137218455056844 	| -2.691847981648075
INFO:root:127 	| [105] 	| -0.18235290184597153 	| -0.9670318822637993 	| -0.9106825828093063
INFO:root:128 	| [103] 	| -1.5779745264198801 	| -1.7314020558499785 	| -1.8166932483062816
INFO:root:129 	| [101] 	| -2.334989404243229 	| -2.1355848829620214 	| -2.3732588992409465
INFO:root:130 	| [102] 	| -0.7472065375589569 	| -1.5633185847892783 	| -1.536096184442041
INFO:root:131 	| [106] 	| -2.0713282076875013 	| -1.771752461990616 	| -1.904483796550533
INFO:root:132 	| [105] 	| -2.348411598025418 	| -2.002781837257923 	| -2.279803980505086
INFO:root:133 	| [101] 	| -0.44881824986788965 	| -0.9204976495082959 	| -0.6277862898532721
INFO:root:134 	| [102] 	| -1.505627621555509 	| -1.7525689687135404 	| -1.8354219025809122
INFO:root:135 	| [106] 	| 0.10646545830690601 	| -0.9435394993156196 	| -0.6311359815513062
INFO:root:136 	| [114] 	| -2.0227184125271944 	| -2.189728681274489 	| -2.1896325312852767
INFO:root:137 	| [103] 	| -2.840110703756109 	| -2.1677157707665575 	| -2.444945558680732
INFO:root:------------------ End of trial ------------------
INFO:root:{real_word} 	| {LDA_prediction} 	| {SLDA_prediction} 	| {BTLDA_prediction} 
INFO:root:4 	| 6 	| 1 	| 1 
INFO:root:Updated all three classifiers, this trial is now included in the training set
INFO:root:------------------ Run 1 Trial 3 ------------------
INFO:root:{epoch} 	| {word_id} 	| {LDA} 	| {SLDA} 	| {BTLDA} 
INFO:root:138 	| [104] 	| -1.528055547346534 	| -1.6486713838543403 	| -1.5417286075979453
INFO:root:139 	| [106] 	| -0.9138318233879777 	| -0.9593895658777547 	| -0.7011341890512228
INFO:root:140 	| [102] 	| -1.7802874797303332 	| -2.487874277832836 	| -2.4708412260689645
INFO:root:141 	| [111] 	| -1.9167135293292787 	| -1.5413666537048036 	| -1.8501486241225518
INFO:root:142 	| [103] 	| -1.8602791797136045 	| -0.9658616829412173 	| -0.8548339742218043
INFO:root:143 	| [105] 	| -3.523371546069175 	| -3.2721339031786787 	| -3.7816512606381805
INFO:root:144 	| [102] 	| 0.6150629736915234 	| -1.1049150620976924 	| -0.6995690148444171
INFO:root:145 	| [106] 	| -0.491496086711817 	| -0.6728380213003695 	| -0.6653659468279578
INFO:root:146 	| [111] 	| -1.3083708735489368 	| -1.082688074212078 	| -1.2399290342625275
INFO:root:147 	| [104] 	| -3.6999326750411883 	| -2.669838565785509 	| -2.6283207664033688
INFO:root:148 	| [105] 	| -1.151969494215578 	| -1.9527829668390029 	| -2.157822835675444
INFO:root:149 	| [103] 	| -2.8474178084825974 	| -2.256278757020497 	| -2.561073859469635
INFO:root:150 	| [102] 	| 2.4239240467969814 	| 0.6548546780271818 	| 1.187466108909047
INFO:root:151 	| [106] 	| -5.279015650705453 	| -3.745622406398474 	| -4.263445318618156
INFO:root:152 	| [104] 	| -4.6442796942337505 	| -2.9607344350929434 	| -3.6398856255085446
INFO:root:153 	| [103] 	| -0.7366064676967523 	| -1.0423347748264449 	| -0.6184331624392706
INFO:root:154 	| [105] 	| 0.8333355319132076 	| -0.3784939893711401 	| 0.09865372530176197
INFO:root:155 	| [111] 	| -1.3893721269185904 	| -1.2153718889662937 	| -1.4082258929114648
INFO:root:156 	| [104] 	| -5.293602996510858 	| -3.9264562959570055 	| -4.806025317934031
INFO:root:157 	| [106] 	| -0.8003345798576754 	| -0.06014494057235331 	| 0.8356485932566613
INFO:root:158 	| [111] 	| -0.851274995072742 	| -1.5890735642968123 	| -1.4965443470691966
INFO:root:159 	| [103] 	| -3.736535217551122 	| -3.231858062311137 	| -3.65215529815758
INFO:root:160 	| [105] 	| 1.1532439533130097 	| -0.08139442728631008 	| 0.2869213908870473
INFO:root:161 	| [102] 	| -3.190595107057047 	| -2.6043405496331493 	| -2.73019092497037
INFO:root:162 	| [111] 	| -3.5586671339348914 	| -2.0167017493474835 	| -2.0794989985541408
INFO:root:163 	| [106] 	| -3.0195734278078934 	| -2.4837650650258136 	| -2.926680144897253
INFO:root:164 	| [102] 	| -1.9738196472520377 	| -2.2415972301783564 	| -2.2290160741832676
INFO:root:165 	| [105] 	| -1.5548733505477699 	| -1.860195075515182 	| -2.0418140663387456
INFO:root:166 	| [103] 	| -1.319431667832271 	| -1.1204076081200438 	| -0.826109024616027
INFO:root:167 	| [104] 	| -4.717994549514068 	| -3.2567540712987624 	| -3.7009650481757923
INFO:root:168 	| [111] 	| -0.3091894419643526 	| -1.1988079352436647 	| -1.0246194256100998
INFO:root:169 	| [102] 	| -3.4549761122137266 	| -2.979740538717264 	| -2.6808006052243014
INFO:root:170 	| [103] 	| -1.3187225677001326 	| -1.7610206933836392 	| -1.7275218732445567
INFO:root:171 	| [104] 	| -2.2063903903522535 	| -2.0041336438944217 	| -2.222048766323078
INFO:root:172 	| [106] 	| -0.0021887795042443425 	| -0.3341298161040662 	| 0.1695296418395471
INFO:root:173 	| [105] 	| -2.672632820966216 	| -2.164375120674011 	| -2.3303979478989216
INFO:root:174 	| [103] 	| -0.179559351725189 	| -1.0756383482677934 	| -0.8937032101896505
INFO:root:175 	| [111] 	| -1.509687619556881 	| -1.4601864255474533 	| -1.2720569749817108
INFO:root:176 	| [105] 	| -0.26088018856217055 	| -0.7377309833776136 	| -0.2799705614198467
INFO:root:177 	| [102] 	| -0.8258031612547237 	| -1.162455294484696 	| -1.0072860115238718
INFO:root:178 	| [104] 	| -4.962055398260025 	| -3.4247253669206 	| -4.110462781243208
INFO:root:179 	| [106] 	| -2.567503986483978 	| -1.3513673814368328 	| -1.3004496231277076
INFO:root:180 	| [111] 	| 1.1889896144296155 	| -0.15835054267817772 	| 0.18403748711185208
INFO:root:181 	| [103] 	| -2.5053332825930825 	| -3.04635680960661 	| -3.8553306618961143
INFO:root:182 	| [102] 	| 0.2453574461418757 	| -0.9286030133082567 	| -0.404456920214868
INFO:root:183 	| [104] 	| -3.898289614187905 	| -2.6541307794415245 	| -3.0996193756585075
INFO:root:184 	| [106] 	| -2.0975639367842085 	| -1.3836797554698026 	| -1.397933978926464
INFO:root:185 	| [105] 	| -3.7734958955372857 	| -3.2398362983320883 	| -3.694080207553584
INFO:root:186 	| [103] 	| 1.0473853762165861 	| -0.45504005740746356 	| 0.3167689112037433
INFO:root:187 	| [104] 	| -2.822773802854994 	| -2.6215504611793587 	| -3.0263112142065864
INFO:root:188 	| [111] 	| 0.9130801977615555 	| 0.4284153497067744 	| 1.0515323006069406
INFO:root:189 	| [102] 	| -4.196666976055356 	| -3.667043998763308 	| -4.200541291072954
INFO:root:190 	| [105] 	| -1.200539983078532 	| -0.6123953278458591 	| -0.43607276521021837
INFO:root:191 	| [106] 	| -2.1735072656620953 	| -2.196451771920064 	| -2.2082695980407947
INFO:root:192 	| [103] 	| -1.1468904615835336 	| -1.4919844988770758 	| -1.281427123435382
INFO:root:193 	| [102] 	| -2.9781767029500457 	| -2.6536850050381244 	| -3.0364023612792206
INFO:root:194 	| [111] 	| 1.0040434019436368 	| 0.4344280554804585 	| 1.0175728609869212
INFO:root:195 	| [104] 	| -5.430257031659346 	| -3.0821950830645344 	| -3.255581487879859
INFO:root:196 	| [105] 	| -1.8685721562606834 	| -1.9164144730875723 	| -1.7374196763874235
INFO:root:197 	| [106] 	| -0.744356510100256 	| -1.4741394789924906 	| -1.5578109759485947
INFO:root:198 	| [102] 	| -1.5238870241289137 	| -1.8962188944201308 	| -1.8663744291217694
INFO:root:199 	| [104] 	| -1.7055785683306461 	| -1.597890731400677 	| -1.6051125431876485
INFO:root:200 	| [106] 	| -3.0308242583472396 	| -1.9131828943146159 	| -2.115110050697702
INFO:root:201 	| [103] 	| -1.5168011220436417 	| -1.828933459804637 	| -1.9055442135440472
INFO:root:202 	| [105] 	| -2.718483125168977 	| -2.124629124827013 	| -2.2361638348495365
INFO:root:203 	| [111] 	| -0.36869063856633666 	| -0.7698707429722877 	| -0.335852720016683
INFO:root:204 	| [102] 	| -0.7561722328990879 	| -1.2972034725156203 	| -1.1056377270006172
INFO:root:205 	| [103] 	| -4.038848175663658 	| -2.5711370952264154 	| -3.04798420351791
INFO:root:206 	| [106] 	| 0.5391318690014968 	| -0.23522141527100215 	| 0.13962172827985952
INFO:root:207 	| [105] 	| -2.9654672619002227 	| -2.4992163569851003 	| -2.6446065751921317
INFO:root:208 	| [104] 	| -0.20531785009837633 	| -0.3242454477618386 	| 0.22472675127953828
INFO:root:209 	| [111] 	| -2.2137780284864625 	| -1.7810093467136423 	| -1.8576181100542024
INFO:root:210 	| [102] 	| -7.006296281174889 	| -4.144531606570448 	| -4.871182335520827
INFO:root:211 	| [104] 	| -0.2722973639388444 	| -0.014364455576287849 	| 0.6818068714614169
INFO:root:212 	| [106] 	| -0.3954178495823122 	| -1.27207697859809 	| -1.2541039271579875
