,v,UC_mean,UC_cov,EWS_mean,TWS_mean
0,0,0.00390625,3.814697265625e-06,0.7948793020599192,0.9102785691674581
1,1,0.00390625,7.62939453125e-06,0.7951013809217984,0.9102785691674581
2,2,0.00390625,1.52587890625e-05,0.7954367201350308,0.9102785691674581
3,3,0.00390625,3.0517578125e-05,0.7958913282606249,0.910360873694207
4,4,0.00390625,6.103515625e-05,0.7962503316720086,0.9105064893953783
5,5,0.00390625,0.0001220703125,0.7961768730123439,0.9115748654637544
6,6,0.00390625,0.000244140625,0.7952886674064276,0.907522950300728
7,7,0.00390625,0.00048828125,0.7936398947266703,0.905261158594492
8,8,0.00390625,0.0009765625,0.7918321118310798,0.9020528648306426
9,9,0.00390625,0.001953125,0.7906015227147919,0.9030025324469769
10,10,0.00390625,0.00390625,0.7902475164362944,0.9008657803102248
11,11,0.00390625,0.0078125,0.7902225243042814,0.9010082304526749
12,12,0.00390625,0.015625,0.790113627948335,0.9042592592592594
13,13,0.00390625,0.03125,0.7899996890439066,0.9074675530231086
14,14,0.00390625,0.0625,0.7895906659816087,0.9084330484330484
15,15,0.00390625,0.125,0.7888152988198284,0.9042592592592592
16,16,0.00390625,0.25,0.7873056312238562,0.9053276353276353
17,17,0.00390625,0.5,0.7836424117424087,0.9023615068059513
18,18,0.00390625,1.0,0.7691587256293011,0.887522950300728
19,19,0.0078125,3.814697265625e-06,0.7962937417756084,0.9138366571699906
20,20,0.0078125,7.62939453125e-06,0.7965580552355056,0.9138366571699906
21,21,0.0078125,1.52587890625e-05,0.7970015024043061,0.9138366571699906
22,22,0.0078125,3.0517578125e-05,0.797594944919885,0.9127255460588795
23,23,0.0078125,6.103515625e-05,0.7981254547073835,0.9137939221272555
24,24,0.0078125,0.0001220703125,0.7981740258609932,0.9160161443494776
25,25,0.0078125,0.000244140625,0.7973350618762675,0.9129503007280785
26,26,0.0078125,0.00048828125,0.7956732934914629,0.9096201329534663
27,27,0.0078125,0.0009765625,0.793818907005006,0.9085090218423552
28,28,0.0078125,0.001953125,0.7925810642952484,0.9094982589427034
29,29,0.0078125,0.00390625,0.7923456905956807,0.9084298828743274
30,30,0.0078125,0.0078125,0.7925450979323929,0.9084298828743274
31,31,0.0078125,0.015625,0.7926424854095808,0.9084726179170622
32,32,0.0078125,0.03125,0.7926154314515562,0.9095014245014245
33,33,0.0078125,0.0625,0.7922288857991141,0.9104700854700855
34,34,0.0078125,0.125,0.7915012391405386,0.9073646723646723
35,35,0.0078125,0.25,0.7901050696189316,0.9075071225071225
36,36,0.0078125,0.5,0.7864834723170452,0.9089427033871478
37,37,0.0078125,1.0,0.7717877633857725,0.8941864514086736
38,38,0.015625,3.814697265625e-06,0.7949128671364573,0.9171494143716367
39,39,0.015625,7.62939453125e-06,0.7952719854476532,0.9182605254827477
40,40,0.015625,1.52587890625e-05,0.7958615654111664,0.9182605254827477
41,41,0.015625,3.0517578125e-05,0.7967034751976225,0.9182605254827477
42,42,0.015625,6.103515625e-05,0.7975730060137299,0.9173345995568218
43,43,0.015625,0.0001220703125,0.7979555252967258,0.9172522950300729
44,44,0.015625,0.000244140625,0.7973761945857757,0.9117394745172523
45,45,0.015625,0.00048828125,0.7958643662775771,0.9087163659385881
46,46,0.015625,0.0009765625,0.7940813504192469,0.9109385881608104
47,47,0.015625,0.001953125,0.792893222924604,0.9129566318455208
48,48,0.015625,0.00390625,0.7927506450125117,0.9129993668882559
49,49,0.015625,0.0078125,0.7931335187223283,0.9118882557771447
50,50,0.015625,0.015625,0.7934216570154957,0.9086372269705603
51,51,0.015625,0.03125,0.7935261806804728,0.9097056030389363
52,52,0.015625,0.0625,0.7932142883717481,0.9095631528964861
53,53,0.015625,0.125,0.7925047612493827,0.9065004748338081
54,54,0.015625,0.25,0.7910752659517227,0.9076748971193416
55,55,0.015625,0.5,0.7874167175492931,0.9112076606521051
56,56,0.015625,1.0,0.7722328319549111,0.8953798670465338
57,57,0.03125,3.814697265625e-06,0.7911010597507301,0.90877809433365
58,58,0.03125,7.62939453125e-06,0.7915653586765448,0.909806900918012
59,59,0.03125,1.52587890625e-05,0.7923394215276062,0.9109180120291233
60,60,0.03125,3.0517578125e-05,0.7935131034096387,0.9129756251978475
61,61,0.03125,6.103515625e-05,0.7948633024156248,0.9141690408357075
62,62,0.03125,0.0001220703125,0.7957680190448051,0.9153228869895537
63,63,0.03125,0.000244140625,0.7956505267524151,0.9153434631212409
64,64,0.03125,0.00048828125,0.7944127368951627,0.9089870212092434
65,65,0.03125,0.0009765625,0.7927842031545923,0.9101377018043686
66,66,0.03125,0.001953125,0.791616595027949,0.904753086419753
67,67,0.03125,0.00390625,0.7915169559469329,0.9079645457423235
68,68,0.03125,0.0078125,0.7920246305213975,0.9109876543209876
69,69,0.03125,0.015625,0.7924746826455618,0.9078395061728394
70,70,0.03125,0.03125,0.792729869480064,0.9088081671415004
71,71,0.03125,0.0625,0.7925421925183889,0.9087654320987654
72,72,0.03125,0.125,0.7919101237919405,0.9088050015827793
73,73,0.03125,0.25,0.7904340980320709,0.9092212725546059
74,74,0.03125,0.5,0.7866791634363429,0.9070386198163977
75,75,0.03125,1.0,0.7710573959682908,0.895610952833175
