,v,UC_mean,UC_cov,EWS_mean,TWS_mean
0,0,0.00390625,3.814697265625e-06,0.6996306780520916,0.7217596534245825
1,1,0.00390625,7.62939453125e-06,0.7009165874084943,0.7256082621112135
2,2,0.00390625,1.52587890625e-05,0.7024022190647214,0.731378241727774
3,3,0.00390625,3.0517578125e-05,0.70390551979421,0.7340314110131168
4,4,0.00390625,6.103515625e-05,0.705096546547328,0.7398693472978941
5,5,0.00390625,0.0001220703125,0.7057167737639166,0.7454312951283536
6,6,0.00390625,0.000244140625,0.7053958740692184,0.7500992507318687
7,7,0.00390625,0.00048828125,0.7037745797957295,0.7501294513874339
8,8,0.00390625,0.0009765625,0.7010004131162612,0.739927273033242
9,9,0.00390625,0.001953125,0.6979521689557956,0.7318997487674843
10,10,0.00390625,0.00390625,0.6957790367996802,0.7274493044108921
11,11,0.00390625,0.0078125,0.6948552153684401,0.7235713186688622
12,12,0.00390625,0.015625,0.6940979025152505,0.7211119334055515
13,13,0.00390625,0.03125,0.693092424925684,0.718392101946816
14,14,0.00390625,0.0625,0.6922635884205769,0.7177007185199814
15,15,0.00390625,0.125,0.6903239329365851,0.7135261151673257
16,16,0.00390625,0.25,0.6876018927337549,0.7056696378307783
17,17,0.00390625,0.5,0.6840866949946663,0.6956344643500485
18,18,0.00390625,1.0,0.6710017503163079,0.6717489493549712
19,19,0.0078125,3.814697265625e-06,0.6969243956549825,0.714868992829335
20,20,0.0078125,7.62939453125e-06,0.6983340672484891,0.7178747711640606
21,21,0.0078125,1.52587890625e-05,0.7000898355090946,0.7223402676347058
22,22,0.0078125,3.0517578125e-05,0.7019994857914581,0.7286813681481379
23,23,0.0078125,6.103515625e-05,0.7036658589320313,0.7327146622732992
24,24,0.0078125,0.0001220703125,0.7047482808926168,0.7367503804916493
25,25,0.0078125,0.000244140625,0.7049660402468201,0.74219038429361
26,26,0.0078125,0.00048828125,0.7040266130024363,0.7453544043170637
27,27,0.0078125,0.0009765625,0.7020105212753118,0.7407235440614581
28,28,0.0078125,0.001953125,0.6997521415246509,0.7370292624184961
29,29,0.0078125,0.00390625,0.6985530549824773,0.7344936259800342
30,30,0.0078125,0.0078125,0.6987579462236461,0.7360724868731557
31,31,0.0078125,0.015625,0.6993274650196153,0.7357709726043764
32,32,0.0078125,0.03125,0.6993813828293902,0.7339234617241335
33,33,0.0078125,0.0625,0.698849303188626,0.7332260763851658
34,34,0.0078125,0.125,0.6968293562368495,0.7325630269688884
35,35,0.0078125,0.25,0.6938622578451052,0.7255272713156652
36,36,0.0078125,0.5,0.6902221650467819,0.7139400024945849
37,37,0.0078125,1.0,0.6768399811475071,0.6886647137756651
38,38,0.015625,3.814697265625e-06,0.6897574187913526,0.7015986730060016
39,39,0.015625,7.62939453125e-06,0.6909542028663337,0.7041157063894035
40,40,0.015625,1.52587890625e-05,0.6924975923302803,0.7072651411057634
41,41,0.015625,3.0517578125e-05,0.6943874573259475,0.7139138097320594
42,42,0.015625,6.103515625e-05,0.696392039437508,0.719446211249545
43,43,0.015625,0.0001220703125,0.698126169530508,0.7265785944596304
44,44,0.015625,0.000244140625,0.6991154924933402,0.7291438531436101
45,45,0.015625,0.00048828125,0.6989895130694989,0.7322796247658115
46,46,0.015625,0.0009765625,0.6977643737648973,0.7329837135843226
47,47,0.015625,0.001953125,0.6963378598135771,0.7292467905036872
48,48,0.015625,0.00390625,0.6959618877800527,0.725231247732793
49,49,0.015625,0.0078125,0.697060108979879,0.7263534717465844
50,50,0.015625,0.015625,0.6987068911250816,0.7310209749937698
51,51,0.015625,0.03125,0.6998738233179144,0.7372799575675665
52,52,0.015625,0.0625,0.7002262821321168,0.7374803694613814
53,53,0.015625,0.125,0.699025934621886,0.7346763040309803
54,54,0.015625,0.25,0.6951831625109174,0.7287478930142551
55,55,0.015625,0.5,0.6908432789853857,0.7172227960525023
56,56,0.015625,1.0,0.6768826560173247,0.6910912505165856
57,57,0.03125,3.814697265625e-06,0.6808740934379431,0.6843622645510089
58,58,0.03125,7.62939453125e-06,0.6819129163908118,0.6865233637563493
59,59,0.03125,1.52587890625e-05,0.6831972529014276,0.6900031710110589
60,60,0.03125,3.0517578125e-05,0.6846675191519118,0.6947899387505181
61,61,0.03125,6.103515625e-05,0.6862443153151379,0.699664721318855
62,62,0.03125,0.0001220703125,0.6877069335851138,0.7029670029061232
63,63,0.03125,0.000244140625,0.6887966341190466,0.7076809337051939
64,64,0.03125,0.00048828125,0.6892003088156562,0.7116140774163278
65,65,0.03125,0.0009765625,0.6888079027325591,0.7080503030574321
66,66,0.03125,0.001953125,0.6883122811752587,0.707138673750782
67,67,0.03125,0.00390625,0.6887547210734466,0.7073798691052942
68,68,0.03125,0.0078125,0.6905352838035255,0.7098423113652526
69,69,0.03125,0.015625,0.6929008191730232,0.7145295120234423
70,70,0.03125,0.03125,0.6949570493604666,0.7185489052641671
71,71,0.03125,0.0625,0.6962946002102663,0.7230742835328906
72,72,0.03125,0.125,0.6964468954845376,0.7243157867278137
73,73,0.03125,0.25,0.692760614004748,0.7195887114620665
74,74,0.03125,0.5,0.6874183926365156,0.7104364594818401
75,75,0.03125,1.0,0.6727714934601778,0.6799490982755749
